ligand,file,geometries,conformers,donor_element,donor_index,substituents,sterimol_l,sterimol_b1,sterimol_b5,percent_buried_volume,buried_volume,qvbur_min,qvbur_max,max_delta_qvbur,max_delta_qvbur_min,pyr_p,pyr_alpha
1,.stericx/kraken_dft_cache/1/31676.sdf,30,30,P,16,C C C,6.9638,4.2632,9.7629,53.3015,95.7266,13.3950,36.6987,20.2646,2.6925,0.9126,20.2915
10,.stericx/kraken_dft_cache/10/31858.sdf,25,25,P,4,C C C,6.1962,3.4147,7.0326,36.0857,64.8078,13.0425,20.1908,6.7954,2.7741,0.8785,24.3564
100,.stericx/kraken_dft_cache/100/33519.sdf,7,7,P,16,C C C,6.9461,3.9102,7.1485,56.5040,101.4781,11.5577,44.1027,29.5910,29.1165,0.9500,15.3130
1000,.stericx/kraken_dft_cache/1000/48782.sdf,34,34,P,4,N N N,5.9447,2.9891,6.1137,33.1356,59.5096,12.6035,17.1400,4.2362,2.9606,0.9137,19.1199
1001,.stericx/kraken_dft_cache/1001/48816.sdf,34,34,P,4,N N N,6.2505,3.0501,6.2747,33.1027,59.4507,12.5466,17.1239,4.4299,3.0072,0.9122,19.3093
1002,.stericx/kraken_dft_cache/1002/48850.sdf,20,20,P,4,N C C,6.0743,3.0056,6.7496,34.3539,61.6977,11.8750,20.0861,7.5606,2.6109,0.9305,18.0847
1003,.stericx/kraken_dft_cache/1003/48870.sdf,14,14,P,3,C C C,9.0732,3.0828,5.8968,34.4844,61.9320,11.3379,20.5935,8.7977,4.0912,0.9051,21.3524
1004,.stericx/kraken_dft_cache/1004/48884.sdf,6,6,P,8,C C C,9.0952,1.9425,5.8623,30.3998,54.5963,9.9231,17.0953,6.7468,5.6881,0.9190,19.1340
1005,.stericx/kraken_dft_cache/1005/48890.sdf,19,19,P,3,C C B,4.8351,2.7765,9.0724,32.5897,58.5293,11.3259,18.3298,6.4506,3.1238,0.8952,22.5059
1006,.stericx/kraken_dft_cache/1006/48909.sdf,6,6,P,8,C C B,4.6739,2.7983,8.4213,29.0661,52.2010,10.0746,15.9841,5.8882,4.5342,0.9131,19.8394
1007,.stericx/kraken_dft_cache/1007/48915.sdf,18,18,P,3,C C Si,4.8738,2.7238,5.6855,31.6985,56.9288,11.6462,16.2697,4.0990,3.0422,0.8868,23.4938
1008,.stericx/kraken_dft_cache/1008/48933.sdf,6,6,P,4,C C Si,4.7345,2.7145,5.7103,31.5193,56.6070,10.8283,19.2886,8.4292,7.2849,0.8898,22.6205
1009,.stericx/kraken_dft_cache/1009/48939.sdf,3,3,P,9,F O O,3.3847,1.4700,6.8431,24.6647,44.2964,8.7808,13.9754,5.1053,0.9674,0.9545,13.9473
101,.stericx/kraken_dft_cache/101/33526.sdf,14,14,P,16,C C C,6.9367,3.7919,9.6499,53.3308,95.7792,11.7050,39.2155,22.6616,4.0329,0.9424,16.1270
1011,.stericx/kraken_dft_cache/1011/48942.sdf,2,2,P,4,F C C,3.1525,2.0104,5.0886,31.0813,55.8202,9.6977,16.8661,7.0518,7.0518,0.9087,20.2887
1012,.stericx/kraken_dft_cache/1012/48944.sdf,3,3,P,1,F C C,3.1446,1.4700,6.8740,25.2272,45.3065,9.0295,14.7137,5.4589,5.4550,0.9566,14.2748
1013,.stericx/kraken_dft_cache/1013/48947.sdf,3,3,P,1,F C C,3.1739,1.4700,5.2012,24.6539,44.2769,9.0528,14.6981,5.4355,4.5108,0.9602,13.3229
1015,.stericx/kraken_dft_cache/1015/48950.sdf,7,7,P,5,B B B,7.0384,2.1487,6.8845,26.6522,47.8659,11.2080,12.9181,1.6435,1.0024,0.9214,19.1207
1016,.stericx/kraken_dft_cache/1016/48957.sdf,20,20,P,7,C C B,6.9672,2.8239,6.8371,36.7991,66.0890,12.7900,19.9509,6.9067,4.0213,0.8835,23.9472
1017,.stericx/kraken_dft_cache/1017/48977.sdf,8,8,P,12,B B B,9.2618,2.4023,9.3172,25.8462,46.4182,11.0513,12.1498,0.8917,0.8509,0.9502,15.2017
1018,.stericx/kraken_dft_cache/1018/48985.sdf,10,10,P,7,C C B,6.9674,2.3252,6.8870,30.1791,54.2000,10.9053,16.0572,4.3919,4.0912,0.9142,20.4272
1019,.stericx/kraken_dft_cache/1019/48995.sdf,32,32,P,29,N N B,6.0251,3.1838,8.0290,53.0015,95.1877,14.7458,37.6115,20.8189,12.2037,0.8824,23.7381
102,.stericx/kraken_dft_cache/102/33540.sdf,36,36,P,9,C C C,7.7162,4.7045,9.7225,56.7218,101.8692,15.0018,36.4461,18.7262,5.5132,0.8969,22.3160
1020,.stericx/kraken_dft_cache/1020/49027.sdf,31,31,P,20,N N B,6.5288,4.8196,8.1498,69.7627,125.2898,23.8364,40.4186,14.7989,4.1728,0.9276,17.4573
1021,.stericx/kraken_dft_cache/1021/49058.sdf,40,40,P,29,C C B,6.9618,3.1746,8.0568,52.8896,94.9867,11.6679,40.0722,24.4189,14.5000,0.8801,24.3400
1022,.stericx/kraken_dft_cache/1022/49098.sdf,3,3,P,8,C C C,6.9430,3.2150,8.1912,35.4491,63.6646,11.6093,20.9185,9.1732,7.7162,0.9923,5.8775
1023,.stericx/kraken_dft_cache/1023/49101.sdf,8,8,P,17,C C C,6.9448,3.1104,8.2031,34.5437,62.0386,11.8468,19.2672,7.2325,6.9003,0.9921,5.9519
1024,.stericx/kraken_dft_cache/1024/49109.sdf,13,13,P,24,C C C,6.9450,3.3159,8.2140,36.5984,65.7286,11.2623,21.1304,9.5659,7.6346,0.9926,5.7471
1025,.stericx/kraken_dft_cache/1025/49122.sdf,27,27,P,22,N N C,6.4563,3.6431,8.9337,43.2241,77.6280,10.7735,27.7467,15.7156,7.9960,0.9749,10.0676
1026,.stericx/kraken_dft_cache/1026/49149.sdf,10,10,P,4,N N N,7.1985,3.9935,7.8430,33.5215,60.2028,11.4088,20.4142,8.6662,4.0796,0.9407,16.6084
1027,.stericx/kraken_dft_cache/1027/49159.sdf,1,1,P,10,N N N,7.3234,4.3847,7.3430,33.5410,60.2378,13.1362,16.9710,3.8348,3.8348,0.9918,6.0808
1028,.stericx/kraken_dft_cache/1028/49160.sdf,10,10,P,3,O O O,4.7365,1.5200,4.8416,22.9459,41.2095,8.7874,13.9976,5.1927,1.3288,0.9542,14.0335
1029,.stericx/kraken_dft_cache/1029/49170.sdf,19,19,P,5,N O O,5.1597,2.4334,4.6605,26.1453,46.9556,8.9297,18.8906,9.8818,8.0892,0.9374,16.2238
103,.stericx/kraken_dft_cache/103/33576.sdf,15,15,P,0,C C C,7.1508,4.5630,9.7574,58.5250,105.1076,15.7199,36.5677,18.6036,10.1057,0.7906,33.0768
1031,.stericx/kraken_dft_cache/1031/49189.sdf,1,1,P,4,O O O,3.9969,1.5200,5.4310,20.0740,36.0518,8.6603,9.4180,0.6994,0.6994,0.9833,8.0828
1032,.stericx/kraken_dft_cache/1032/49190.sdf,1,1,P,8,N N N,4.6634,2.7628,5.8389,28.6734,51.4958,11.5044,14.3135,1.6085,1.6085,0.9642,12.9249
1033,.stericx/kraken_dft_cache/1033/49191.sdf,1,1,P,5,N N N,6.0761,2.7331,6.0756,25.0000,44.8986,10.4204,12.0289,1.6085,1.6085,0.9922,5.9135
1034,.stericx/kraken_dft_cache/1034/49192.sdf,34,34,P,8,N N N,9.8627,3.8533,10.5198,27.1656,48.7879,10.6206,13.8520,2.4498,1.2588,0.9610,13.4251
1035,.stericx/kraken_dft_cache/1035/49226.sdf,49,49,P,8,N N C,9.6811,3.7059,10.3330,27.5343,49.4501,10.2808,14.5373,4.1464,2.6575,0.9460,15.9749
1036,.stericx/kraken_dft_cache/1036/47970.sdf,22,22,P,5,O N N,6.0370,2.5964,6.1614,27.7592,49.8539,10.1067,15.5469,5.4142,4.8838,0.9568,13.8184
1037,.stericx/kraken_dft_cache/1037/49286.sdf,55,55,P,9,N N N,6.5852,4.5822,7.2207,49.3539,88.6369,16.4772,27.6563,10.5488,1.6318,0.9070,20.8847
1038,.stericx/kraken_dft_cache/1038/49341.sdf,10,10,P,17,N N N,5.9346,4.8178,6.8320,51.7179,92.8825,17.4384,29.2727,11.6070,2.0165,0.8886,23.2369
1039,.stericx/kraken_dft_cache/1039/49351.sdf,2,2,P,16,N N N,6.7144,4.0773,7.3146,39.9825,71.8063,15.8462,20.0715,3.3161,3.3103,0.9458,16.0441
104,.stericx/kraken_dft_cache/104/33591.sdf,32,32,P,9,C C C,7.5776,4.8960,9.3199,46.5164,83.5409,11.5324,30.7847,16.6192,6.3525,0.8954,22.3226
1040,.stericx/kraken_dft_cache/1040/49353.sdf,10,10,P,18,N N C,6.2308,4.3888,8.3234,35.8950,64.4654,11.0102,21.4644,10.3609,3.7532,0.9650,12.7164
1041,.stericx/kraken_dft_cache/1041/49363.sdf,31,31,P,14,N N N,5.7301,4.1187,6.5603,40.1852,72.1704,14.5556,22.3993,7.3026,1.3871,0.9635,13.0220
1042,.stericx/kraken_dft_cache/1042/49394.sdf,21,21,P,7,N C C,5.4854,3.8678,8.2868,35.3576,63.5003,11.3246,23.0793,11.0765,7.2616,0.9012,21.8312
1043,.stericx/kraken_dft_cache/1043/49415.sdf,6,6,P,8,N C C,6.7592,3.6837,5.6382,39.5174,70.9709,14.0551,24.7086,9.9231,6.1660,0.8781,24.1455
