Reaction_ID,Conformer_Index,Conformer_XYZ_Path,Boltzmann_Weight,vbur,percent_vbur,qvbur_min,qvbur_max,max_delta_qvbur,ovbur_min,ovbur_max,near_vbur,far_vbur,Coordination_Center_Method,Coordination_Center_X,Coordination_Center_Y,Coordination_Center_Z
SIG-NIHDA-401,0,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_000.xyz,0.23821759,47.92913,26.687435,10.944906,13.206155,2.2612486,0.0,13.206155,47.929134,0.0,crest212_xtb640_lmo_kraken,4.88201,2.12593,0.9938212
SIG-NIHDA-401,1,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_001.xyz,0.054849446,47.94079,26.693924,10.944906,13.206155,2.2612486,0.0,13.206155,47.940792,0.0,crest212_xtb640_lmo_kraken,4.878997,2.1152916,1.0105364
SIG-NIHDA-401,2,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_002.xyz,0.012849869,47.812572,26.622534,10.898283,13.124563,2.2262802,0.0,13.124563,47.812576,0.0,crest212_xtb640_lmo_kraken,4.8785605,2.1873863,0.929992
SIG-NIHDA-401,3,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_003.xyz,0.098619,47.462894,26.42783,10.641852,13.427616,2.7857637,0.0,13.427616,47.4629,0.0,crest212_xtb640_lmo_kraken,5.240709,0.42950404,-0.4163558
SIG-NIHDA-401,4,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_004.xyz,0.03246967,47.404617,26.39538,10.7351,13.287745,2.5526457,0.0,13.287745,47.404617,0.0,crest212_xtb640_lmo_kraken,5.283346,0.73206306,0.1480577
SIG-NIHDA-401,5,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_005.xyz,0.024289753,47.39296,26.388887,10.723444,13.322714,2.5992699,0.0,13.322714,47.39296,0.0,crest212_xtb640_lmo_kraken,5.281536,0.8071717,0.0697638
SIG-NIHDA-401,6,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_006.xyz,0.024229754,47.439587,26.41485,10.7351,13.252779,2.5176792,0.0,13.252779,47.439587,0.0,crest212_xtb640_lmo_kraken,5.287414,0.91275233,0.17417316
SIG-NIHDA-401,7,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_007.xyz,0.00791992,47.462894,26.42783,10.746756,13.27609,2.529334,0.0,13.27609,47.462894,0.0,crest212_xtb640_lmo_kraken,5.287195,0.93103325,0.33533293
SIG-NIHDA-401,8,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_008.xyz,0.047619518,47.439587,26.41485,10.758411,13.241122,2.4827108,0.0,13.241122,47.439587,0.0,crest212_xtb640_lmo_kraken,5.280296,0.9195033,0.23708323
SIG-NIHDA-401,9,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_009.xyz,0.007729922,47.544487,26.47326,10.7351,13.322714,2.587614,0.0,13.322714,47.54449,0.0,crest212_xtb640_lmo_kraken,5.288146,0.9816078,0.18033768
SIG-NIHDA-401,10,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_010.xyz,0.038229614,47.48621,26.440811,10.7351,13.287745,2.5526457,0.0,13.287745,47.486206,0.0,crest212_xtb640_lmo_kraken,5.2966857,0.943873,0.07698487
SIG-NIHDA-401,11,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_011.xyz,0.0076399227,47.48621,26.440811,10.79338,13.252779,2.4593992,0.0,13.252779,47.48621,0.0,crest212_xtb640_lmo_kraken,5.284644,1.0147643,0.38596883
SIG-NIHDA-401,12,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_012.xyz,0.029299702,47.521175,26.460281,10.781724,13.264435,2.4827108,0.0,13.264435,47.52118,0.0,crest212_xtb640_lmo_kraken,5.2899804,1.1130947,0.24868439
SIG-NIHDA-401,13,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_013.xyz,0.013579862,47.64939,26.531672,10.85166,13.311057,2.4593973,0.0,13.311057,47.64939,0.0,crest212_xtb640_lmo_kraken,5.2795415,1.2033024,0.26621917
SIG-NIHDA-401,14,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_014.xyz,0.0067399316,47.672703,26.544653,10.87497,13.27609,2.4011192,0.0,13.27609,47.6727,0.0,crest212_xtb640_lmo_kraken,5.2718344,1.197067,0.36310726
SIG-NIHDA-401,15,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_015.xyz,0.040119596,49.805733,27.732346,10.280519,16.155102,5.8745832,0.0,16.155102,49.805733,0.0,crest212_xtb640_lmo_kraken,5.271739,0.7035346,-0.33294997
SIG-NIHDA-401,16,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_016.xyz,0.0066599324,49.805733,27.732346,10.280519,16.178413,5.897895,0.0,16.178413,49.805733,0.0,crest212_xtb640_lmo_kraken,5.2914433,0.68944925,-0.04762702
SIG-NIHDA-401,17,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_017.xyz,0.019449804,47.75429,26.590082,10.886627,13.299401,2.412774,0.0,13.299401,47.75429,0.0,crest212_xtb640_lmo_kraken,5.275503,1.239266,0.26261815
SIG-NIHDA-401,18,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_018.xyz,0.012989868,49.98057,27.829697,10.280519,16.201725,5.9212065,0.0,16.201725,49.980576,0.0,crest212_xtb640_lmo_kraken,5.279623,0.82114315,-0.14050584
SIG-NIHDA-401,19,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_019.xyz,0.018669812,50.062164,27.875128,10.268863,16.21338,5.944518,0.0,16.21338,50.06217,0.0,crest212_xtb640_lmo_kraken,5.261251,0.91123337,-0.54857284
SIG-NIHDA-401,20,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_020.xyz,0.005989939,50.038853,27.862148,10.268863,16.143446,5.8745832,0.0,16.143446,50.038853,0.0,crest212_xtb640_lmo_kraken,5.3067913,0.7956,-0.25112152
SIG-NIHDA-401,21,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_021.xyz,0.02462975,49.957264,27.816721,10.268863,16.201725,5.9328623,0.0,16.201725,49.957264,0.0,crest212_xtb640_lmo_kraken,5.283126,0.80399144,-0.4021647
SIG-NIHDA-401,22,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_022.xyz,0.005999939,50.05051,27.86864,10.268863,16.178413,5.9095507,0.0,16.178413,50.05051,0.0,crest212_xtb640_lmo_kraken,5.2827277,0.8205651,-0.5406892
SIG-NIHDA-401,23,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_023.xyz,0.005839941,50.038853,27.862148,10.280519,16.21338,5.9328623,0.0,16.21338,50.038853,0.0,crest212_xtb640_lmo_kraken,5.2676244,0.9534377,-0.5492598
SIG-NIHDA-401,24,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_024.xyz,0.050659485,47.82423,26.629023,10.863315,13.252779,2.3894644,0.0,13.252779,47.82423,0.0,crest212_xtb640_lmo_kraken,3.3898506,2.0091357,3.0196624
SIG-NIHDA-401,25,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_025.xyz,0.005619943,47.800915,26.616041,10.87497,13.229466,2.354496,0.0,13.229466,47.80092,0.0,crest212_xtb640_lmo_kraken,3.4435484,2.2856317,2.7421322
SIG-NIHDA-401,26,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_026.xyz,0.005559944,49.840706,27.75182,10.268863,16.166758,5.897895,0.0,16.166758,49.8407,0.0,crest212_xtb640_lmo_kraken,5.2951875,0.6967408,0.013658067
SIG-NIHDA-401,27,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_027.xyz,0.005479945,47.812572,26.622534,10.898283,13.241122,2.3428392,0.0,13.241122,47.812576,0.0,crest212_xtb640_lmo_kraken,3.418394,2.2848773,2.7507453
