Reaction_ID,Ligand_XYZ_Path,Attach_Atom_Idx,Primary_Bond_Vector_Idx,NBO_Charge,IR_Frequency,Temp_K,Exp_ddG_kcal_mol,Conformer_XYZ_Paths,Conformer_Relative_Energies_kcal_mol,Conformer_Boltzmann_Weights,Conformer_Count,Ensemble_Energy_Span_kcal_mol,Ligand_SMILES,Ligand_Group,Dataset_Split,Source_ID,Source_URL,Conformer_Coordination_Centers_Angstrom,Coordination_Center_Method,Quantum_LMO_Cache_Keys,Quantum_Ensemble_Cache_Key,Quantum_CREST_Cache_Key,Quantum_xTB_Version,Quantum_CREST_Version
SIG-NIHDA-401,xyz/SIG-NIHDA-401_9d42bff1.xyz,14,10,0.74667798,1650,298.15,0.056166692,conformers/SIG-NIHDA-401_9d42bff1/conf_000.xyz;conformers/SIG-NIHDA-401_9d42bff1/conf_001.xyz;conformers/SIG-NIHDA-401_9d42bff1/conf_002.xyz;conformers/SIG-NIHDA-401_9d42bff1/conf_003.xyz;conformers/SIG-NIHDA-401_9d42bff1/conf_004.xyz;conformers/SIG-NIHDA-401_9d42bff1/conf_005.xyz,0.00000000;0.01007589;0.01007590;0.70717767;0.77912433;0.77912433,0.2627187206;0.2582886629;0.2582886588;0.0796390725;0.0705324430;0.0705324422,6,0.77912433,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@]3c2ccccc2)cc1,O=S(=O)(c1ccccc1)N1CC2CC1CP2c1ccccc1,train,401,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv,"-1.4059889723,-4.3419476152,-3.2043446862;-5.1781789318,1.4450034030,1.4756467391;-5.1019435108,-1.7081388040,1.5124240991;3.1577065960,-3.3708196466,1.9762084103;3.5051110125,3.4958537302,-1.1836718258;-3.0206350120,0.0968930634,4.0560608557",xtb_lmo_kraken,e01e1831ad18447906fde5a20332c48b5af50ed2f7e5c76156a82629f819ab39;48c5db49ade103dd4aee6236b159b918a1b4ecf09053134dfbbc41254fd5369b;134c2ff2f71f837786af54b3a5b0e1561e2a01fbcc3db4c9e492c42472ff8259;2806b694fc012d1e16af8cd22fdfdc927d8ed452d479951cf3d2da9f8ef8686f;b976bfb33fafcd6baae887af169bcd275416c750a93b522be6d748415209193c;fe2527491423f7021a79c85ecbf34c949eb5044afe1200f472acd664b6ab6d61,,,6.4.0,2.12
SIG-NIHDA-498,xyz/SIG-NIHDA-498_7d70a0ce.xyz,3,4,1.45808,1650,298.15,0.11251389,conformers/SIG-NIHDA-498_7d70a0ce/conf_000.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_001.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_002.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_003.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_004.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_005.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_006.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_007.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_008.xyz,0.00000000;0.00000000;0.00000000;0.00000002;0.00000003;0.00000007;0.00000008;0.00000010;0.00000019,0.1111111215;0.1111111213;0.1111111209;0.1111111175;0.1111111164;0.1111111077;0.1111111058;0.1111111036;0.1111110852,9,1.93755e-07,CN(C)P1Oc2cccc3c2C2(CC3)CCc3cccc(c32)O1,c1cc2c3c(c1)OPOc1cccc4c1C3(CC2)CC4,train,498,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv,"2.5866228383,-2.6540500590,1.7529236607;2.1879899533,3.4604013940,0.2137514204;2.6632955776,2.2349566445,-2.1723596116;2.7115341321,-3.0740270754,-0.1384691000;2.9581209774,2.0912560754,-1.9192200365;2.1293209842,-2.0871911248,2.8505882651;2.3520229956,-1.7785323903,2.8481927505;2.4513218385,-2.1720752893,-2.4658698673;3.0785768346,-2.2215435015,-1.5473352259",xtb_lmo_kraken,070dddd09a148d85a6a7696d93b5efe931ca530b294683e9219234deb21e57e7;8d11c610e26cd071a07142e0618aa71779930c2159ad498c7627f8b11d27f533;1eda7180e26d8d074dc1535baaecc69d6958febf1e54cdc2904d6714f478b2ee;a1d041bfd4ab38d2868d973de9301df11c0a0377254da1e7c9e1aba766f3a857;f87a66cd3077ad50dac0894ad096229d747b5d09129873ec3bd3174064ef35a7;230a11130f62ac458895285739f80e015dd6ad405510d9c4083a8cfe7535cf48;455b5fd757265e206840edd964940b34035b8cbed6931ea1f2d1f9f9de308e91;8087c4c5fa9444eb201f8e61cccd61cf1c976a6ef2640e96887e9acc95d77363;695d8cb7b16fc6f9e7754e196510ef7c5100b3a1ad4a8bfc5b56dc31b5119b16,,,6.4.0,2.12
SIG-NIHDA-723,xyz/SIG-NIHDA-723_1db84e66.xyz,16,15,0.74010279,1650,298.15,1.9307772,conformers/SIG-NIHDA-723_1db84e66/conf_000.xyz;conformers/SIG-NIHDA-723_1db84e66/conf_001.xyz,0.00000000;0.00000063,0.5000002679;0.4999997321,2,6.3483802e-07,COc1cccc(OC)c1-c1cccc2c1P(C(C)(C)C)CO2,c1ccc(-c2cccc3c2PCO3)cc1,blind,723,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv,"-0.2317530093,-1.5297598592,2.7272037395;-1.5779622478,-1.5676437556,-2.1345787369",xtb_lmo_kraken,e5e39b5480273fecfd54a69baac92553b0488cff1d7ec48eeacc7c626ef4f808;2de79d1bc2086d9ff160cf8bc56b9f521dc7fb79a3ab7fd0e320a514db52139a,,,6.4.0,2.12
SIG-NIHDA-724,xyz/SIG-NIHDA-724_0d5c5a07.xyz,4,5,0.74557,1650,298.15,2.1437554,conformers/SIG-NIHDA-724_0d5c5a07/conf_000.xyz;conformers/SIG-NIHDA-724_0d5c5a07/conf_001.xyz,0.00000000;0.00000021,0.5000000872;0.4999999128,2,2.0672404e-07,CC(C)(C)P1COc2cccc(-c3c4ccccc4cc4ccccc34)c21,c1cc2c(c(-c3c4ccccc4cc4ccccc34)c1)PCO2,train,724,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv,"1.5013379783,2.6950999143,0.2723879402;1.5344128956,0.1301922959,-2.6901824531",xtb_lmo_kraken,95f5f82db5a91549aff29ad7353d725714889b3a49883e6b339f773d068a51b7;f1688d3da8c691c1fc3eedc073b3629944e6abdde6983bb45e8d02132b667679,,,6.4.0,2.12
SIG-NIHDA-785,xyz/SIG-NIHDA-785_fe24eb0f.xyz,2,3,1.45923,1650,298.15,1.1635936,conformers/SIG-NIHDA-785_fe24eb0f/conf_000.xyz;conformers/SIG-NIHDA-785_fe24eb0f/conf_001.xyz,0.00000000;0.00000012,0.5000000519;0.4999999481,2,1.2305645e-07,CN(P(OC1=CC=C(C=CC=C2)C2=[C@]13)OC4=[C@]3C(C=CC=C5)=C5C=C4)C,c1ccc2c(c1)ccc1o[pH]oc3ccc4ccccc4c3c12,train,785,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv,"3.0205287371,0.3664031774,-3.6600013567;3.5902530174,0.1789126772,-3.1194698193",xtb_lmo_kraken,e91bf5b9b26bf5d874ff13b56cdd07c77a06e11af20e4854b04d6c334883b009;4a957a3705055697ad2f0b38fe8bc2ff3dc5717bbafeeb589421a83228d7f350,,,6.4.0,2.12
SIG-NIHDA-1057,xyz/SIG-NIHDA-1057_be992081.xyz,16,15,0.7467099,1650,298.15,1.5036666,conformers/SIG-NIHDA-1057_be992081/conf_000.xyz,0.00000000,1.0000000000,1,0,COc1cccc(OC)c1-c1cccc2c1[P@@](C(C)(C)C)[C@H](C)O2,c1ccc(-c2cccc3c2PCO3)cc1,train,1057,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv,"-0.6907408099,0.1862950738,2.8037646020",xtb_lmo_kraken,53962bdbf4d417a97982564f830b5d9058ed44992b1a661de4f95c73ba6d7f09,,,6.4.0,2.12
SIG-NIHDA-1058,xyz/SIG-NIHDA-1058_219b0b66.xyz,16,15,0.74530902,1650,298.15,1.1635936,conformers/SIG-NIHDA-1058_219b0b66/conf_000.xyz;conformers/SIG-NIHDA-1058_219b0b66/conf_001.xyz,0.00000000;0.26599945,0.6103908947;0.3896091053,2,0.26599945,COc1cccc(OC)c1-c1cccc2c1[P@@](C(C)(C)C)[C@H](C(C)C)O2,c1ccc(-c2cccc3c2PCO3)cc1,train,1058,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv,"-0.4735326981,-1.3459797293,-2.1294842060;1.1579851178,-2.2686083233,-0.2410404872",xtb_lmo_kraken,0e5ad3ecd2d0771ac460dd5bf39471f5f59101456009ab02d202351e2c7e658f;a22166991ba0347e9bf26f03153e62f4f47b5fc124852eb0257d007e8538d46f,,,6.4.0,2.12
SIG-NIHDA-2062,xyz/SIG-NIHDA-2062_d86f6436.xyz,3,2,1.490605,1650,298.15,0.34352042,conformers/SIG-NIHDA-2062_d86f6436/conf_000.xyz;conformers/SIG-NIHDA-2062_d86f6436/conf_001.xyz;conformers/SIG-NIHDA-2062_d86f6436/conf_002.xyz;conformers/SIG-NIHDA-2062_d86f6436/conf_003.xyz,0.00000000;1.66813571;3.20384417;4.26881290,0.9388778931;0.0562156392;0.0042089624;0.0006975053,4,4.2688129,C[C@@H](N(P(Oc(c12)ccc3c2cccc3)Oc(cc4)c1c5c4cccc5)[C@@H](c6cccc7c6cccc7)C)c(ccc8)c9c8cccc9,c1ccc2c(CN(Cc3cccc4ccccc34)p3oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)cccc2c1,train,2062,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv,"-0.1124063314,1.8770874947,2.9923190957;1.1383783824,0.2922105704,4.0218377154;0.8084389516,1.1924163077,-3.1173127540;-0.8721378728,1.2643793776,-3.6380387195",xtb_lmo_kraken,6655dfe8de0e34def5b9964de4595e61da859cf7fe22b5b56c726089a137cea2;6162b47721cf59dc9621c2e3fbb4761cdbb56c17a7f876777230f2eb7d1f78d3;bf973b70da92055f20a565d2acab0393cd73895431be153753060bb1570a4aa5;23e169ce06f75302997984c2bce10db0466c781d9e6f8b07ec429265955fdee5,,,6.4.0,2.12
SIG-NIHDA-2063,xyz/SIG-NIHDA-2063_9978c6ba.xyz,1,2,1.467356,1650,298.15,0.2553978,conformers/SIG-NIHDA-2063_9978c6ba/conf_000.xyz;conformers/SIG-NIHDA-2063_9978c6ba/conf_001.xyz;conformers/SIG-NIHDA-2063_9978c6ba/conf_002.xyz;conformers/SIG-NIHDA-2063_9978c6ba/conf_003.xyz;conformers/SIG-NIHDA-2063_9978c6ba/conf_004.xyz,0.00000000;4.33213274;4.33213306;4.33213472;4.86083444,0.9977288176;0.0006660965;0.0006660962;0.0006660943;0.0002728954,5,4.8608344,N1(P(Oc(c23)ccc4c3cccc4)Oc(cc5)c2c6c5cccc6)CCCCC1,c1ccc2c(c1)ccc1op(N3CCCCC3)oc3ccc4ccccc4c3c12,train,2063,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv,"2.2210190451,3.4159997298,-1.5984218754;-2.1583561864,-3.8449151926,-0.7489369175;1.8317677907,1.8759141954,-3.6320864990;2.0114613291,2.0962278809,3.4034024161;2.3003790230,-3.5367102944,-1.3300925411",xtb_lmo_kraken,7716b533718e25eae750be0360bf145c5689aae2e146cf0dee81d07f9e1633f9;a6b8095fb3c159021cb54adf9fc381f68a00cc83639f3af80a7d5a57eba13715;b99e2921b8417c0253f2f933fe25830b49d4cf5dac3e781b06b13f683b11511c;33d5363c9ac5d1514371415dd20a75a928d12e5c2cacd387133ebf8e5be8fd8c;5b7046a440460340b9e7d65896364499a110221dfe43d00b3371032e4f5fd4e5,,,6.4.0,2.12
SIG-NIHDA-2064,xyz/SIG-NIHDA-2064_f0ba08d0.xyz,10,11,1.477565,1650,298.15,0.028072105,conformers/SIG-NIHDA-2064_f0ba08d0/conf_000.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_001.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_002.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_003.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_004.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_005.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_006.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_007.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_008.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_009.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_010.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_011.xyz,0.00000000;0.17208368;0.17208375;0.17208386;2.78216069;2.78216073;2.92835883;2.92835896;2.92835905;2.92835933;4.36651518;4.36651525,0.3037788134;0.2272057254;0.2272056954;0.2272056534;0.0027747224;0.0027747223;0.0021679815;0.0021679810;0.0021679806;0.0021679796;0.0001913726;0.0001913725,12,4.3665153,N1(C2=C(C=CC=C2)CCC1)P3Oc4ccc5ccccc5c4c6c7ccccc7ccc6O3,c1ccc2c(c1)CCCN2p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,train,2064,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv,"1.7888100406,3.2408396567,-2.2585035219;1.4185064507,-1.7690624409,3.5264856311;2.0968277828,-1.7012762087,-3.0231898527;1.8461117027,2.4329888544,2.8024557901;1.6274196805,-3.5482345906,2.0601323125;1.7852398080,3.7851152311,1.3792781728;-1.4597217103,3.9390828925,1.7461176374;1.6607530263,-1.1476066836,-4.0769282381;1.3594845024,0.3456545789,4.3605855183;1.5297546659,4.2276343825,0.6946483384;1.7289607598,1.5672874200,3.2762214290;1.6794767106,-2.1960814534,3.0848892971",xtb_lmo_kraken,4efad38dbe62ae7ee80c89a2ebc81f6ef485ac808457ea8faaf320a97f1567a6;e6186e97d1fab16bce8712733188b3c62c11babdfdfe118627c8e38ed80afa0c;3369cb4ce5aa33e95e37f8e0ff277d4c488535d2766f4d396171c164859e278b;2886e4fb11a718d3bab8fdaa52885bcd823848a0757e057b7a3338cf95d43427;7f0f492d4b764673d221ea47acb9c26121267bb3cfe7f65f748d2662bad094c9;2720d443fb3577a5eec16c3a9ae91af4e006056db7032a8a1e1abbba18dcc327;d1e1c357fcdd6b43de7a529c311144621d527a1b81f4b7575a14bd9ec8ba38b3;2f07e3b9c4056b820fcf42abca973deec75a7380c71c9b19fdd2c59343736933;e80583d16ce9bb65cdedcf320e30abe5b3975ccb8877775c48d23100309a8475;eddeb1fb0a49eb8491f4279f80524d4a13bfe0e47b41e6d682f04fee24b13fce;43dcbd0993f14906510c940c926736db635dab79a0aeb9288e57bd67e02ebf09;fd47dd190ceac3a29cf18ec50c656c1d5bc9980fe478bbcaf246e4a74245a080,,,6.4.0,2.12
