Reaction_ID,Ligand_XYZ_Path,Attach_Atom_Idx,Primary_Bond_Vector_Idx,NBO_Charge,IR_Frequency,Temp_K,Exp_ddG_kcal_mol,Conformer_XYZ_Paths,Conformer_Relative_Energies_kcal_mol,Conformer_Boltzmann_Weights,Conformer_Count,Ensemble_Energy_Span_kcal_mol,Ligand_SMILES,Ligand_Group,Dataset_Split,Source_ID,Source_URL
SIG-NIHDA-401,xyz/SIG-NIHDA-401_9d42bff1.xyz,14,10,0.74667798,1650,298.15,0.056166692,conformers/SIG-NIHDA-401_9d42bff1/conf_000.xyz;conformers/SIG-NIHDA-401_9d42bff1/conf_001.xyz;conformers/SIG-NIHDA-401_9d42bff1/conf_002.xyz;conformers/SIG-NIHDA-401_9d42bff1/conf_003.xyz;conformers/SIG-NIHDA-401_9d42bff1/conf_004.xyz;conformers/SIG-NIHDA-401_9d42bff1/conf_005.xyz,0.00000000;0.01007589;0.01007590;0.70717767;0.77912433;0.77912433,0.2627187206;0.2582886629;0.2582886588;0.0796390725;0.0705324430;0.0705324422,6,0.77912433,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@]3c2ccccc2)cc1,O=S(=O)(c1ccccc1)N1CC2CC1CP2c1ccccc1,train,401,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv
SIG-NIHDA-498,xyz/SIG-NIHDA-498_7d70a0ce.xyz,3,4,1.45808,1650,298.15,0.11251389,conformers/SIG-NIHDA-498_7d70a0ce/conf_000.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_001.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_002.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_003.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_004.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_005.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_006.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_007.xyz;conformers/SIG-NIHDA-498_7d70a0ce/conf_008.xyz,0.00000000;0.00000000;0.00000000;0.00000002;0.00000003;0.00000007;0.00000008;0.00000010;0.00000019,0.1111111215;0.1111111213;0.1111111209;0.1111111175;0.1111111164;0.1111111077;0.1111111058;0.1111111036;0.1111110852,9,1.93755e-07,CN(C)P1Oc2cccc3c2C2(CC3)CCc3cccc(c32)O1,c1cc2c3c(c1)OPOc1cccc4c1C3(CC2)CC4,train,498,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv
SIG-NIHDA-723,xyz/SIG-NIHDA-723_1db84e66.xyz,16,15,0.74010279,1650,298.15,1.9307772,conformers/SIG-NIHDA-723_1db84e66/conf_000.xyz;conformers/SIG-NIHDA-723_1db84e66/conf_001.xyz,0.00000000;0.00000063,0.5000002679;0.4999997321,2,6.3483802e-07,COc1cccc(OC)c1-c1cccc2c1P(C(C)(C)C)CO2,c1ccc(-c2cccc3c2PCO3)cc1,blind,723,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv
SIG-NIHDA-724,xyz/SIG-NIHDA-724_0d5c5a07.xyz,4,5,0.74557,1650,298.15,2.1437554,conformers/SIG-NIHDA-724_0d5c5a07/conf_000.xyz;conformers/SIG-NIHDA-724_0d5c5a07/conf_001.xyz,0.00000000;0.00000021,0.5000000872;0.4999999128,2,2.0672404e-07,CC(C)(C)P1COc2cccc(-c3c4ccccc4cc4ccccc34)c21,c1cc2c(c(-c3c4ccccc4cc4ccccc34)c1)PCO2,train,724,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv
SIG-NIHDA-785,xyz/SIG-NIHDA-785_fe24eb0f.xyz,2,3,1.45923,1650,298.15,1.1635936,conformers/SIG-NIHDA-785_fe24eb0f/conf_000.xyz;conformers/SIG-NIHDA-785_fe24eb0f/conf_001.xyz,0.00000000;0.00000012,0.5000000519;0.4999999481,2,1.2305645e-07,CN(P(OC1=CC=C(C=CC=C2)C2=[C@]13)OC4=[C@]3C(C=CC=C5)=C5C=C4)C,c1ccc2c(c1)ccc1o[pH]oc3ccc4ccccc4c3c12,train,785,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv
SIG-NIHDA-1057,xyz/SIG-NIHDA-1057_be992081.xyz,16,15,0.7467099,1650,298.15,1.5036666,conformers/SIG-NIHDA-1057_be992081/conf_000.xyz,0.00000000,1.0000000000,1,0,COc1cccc(OC)c1-c1cccc2c1[P@@](C(C)(C)C)[C@H](C)O2,c1ccc(-c2cccc3c2PCO3)cc1,train,1057,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv
SIG-NIHDA-1058,xyz/SIG-NIHDA-1058_219b0b66.xyz,16,15,0.74530902,1650,298.15,1.1635936,conformers/SIG-NIHDA-1058_219b0b66/conf_000.xyz;conformers/SIG-NIHDA-1058_219b0b66/conf_001.xyz,0.00000000;0.26599945,0.6103908947;0.3896091053,2,0.26599945,COc1cccc(OC)c1-c1cccc2c1[P@@](C(C)(C)C)[C@H](C(C)C)O2,c1ccc(-c2cccc3c2PCO3)cc1,train,1058,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv
SIG-NIHDA-2062,xyz/SIG-NIHDA-2062_d86f6436.xyz,3,2,1.490605,1650,298.15,0.34352042,conformers/SIG-NIHDA-2062_d86f6436/conf_000.xyz;conformers/SIG-NIHDA-2062_d86f6436/conf_001.xyz;conformers/SIG-NIHDA-2062_d86f6436/conf_002.xyz;conformers/SIG-NIHDA-2062_d86f6436/conf_003.xyz,0.00000000;1.66813571;3.20384417;4.26881290,0.9388778931;0.0562156392;0.0042089624;0.0006975053,4,4.2688129,C[C@@H](N(P(Oc(c12)ccc3c2cccc3)Oc(cc4)c1c5c4cccc5)[C@@H](c6cccc7c6cccc7)C)c(ccc8)c9c8cccc9,c1ccc2c(CN(Cc3cccc4ccccc34)p3oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)cccc2c1,train,2062,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv
SIG-NIHDA-2063,xyz/SIG-NIHDA-2063_9978c6ba.xyz,1,2,1.467356,1650,298.15,0.2553978,conformers/SIG-NIHDA-2063_9978c6ba/conf_000.xyz;conformers/SIG-NIHDA-2063_9978c6ba/conf_001.xyz;conformers/SIG-NIHDA-2063_9978c6ba/conf_002.xyz;conformers/SIG-NIHDA-2063_9978c6ba/conf_003.xyz;conformers/SIG-NIHDA-2063_9978c6ba/conf_004.xyz,0.00000000;4.33213274;4.33213306;4.33213472;4.86083444,0.9977288176;0.0006660965;0.0006660962;0.0006660943;0.0002728954,5,4.8608344,N1(P(Oc(c23)ccc4c3cccc4)Oc(cc5)c2c6c5cccc6)CCCCC1,c1ccc2c(c1)ccc1op(N3CCCCC3)oc3ccc4ccccc4c3c12,train,2063,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv
SIG-NIHDA-2064,xyz/SIG-NIHDA-2064_f0ba08d0.xyz,10,11,1.477565,1650,298.15,0.028072105,conformers/SIG-NIHDA-2064_f0ba08d0/conf_000.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_001.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_002.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_003.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_004.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_005.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_006.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_007.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_008.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_009.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_010.xyz;conformers/SIG-NIHDA-2064_f0ba08d0/conf_011.xyz,0.00000000;0.17208368;0.17208375;0.17208386;2.78216069;2.78216073;2.92835883;2.92835896;2.92835905;2.92835933;4.36651518;4.36651525,0.3037788134;0.2272057254;0.2272056954;0.2272056534;0.0027747224;0.0027747223;0.0021679815;0.0021679810;0.0021679806;0.0021679796;0.0001913726;0.0001913725,12,4.3665153,N1(C2=C(C=CC=C2)CCC1)P3Oc4ccc5ccccc5c4c6c7ccccc7ccc6O3,c1ccc2c(c1)CCCN2p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,train,2064,https://raw.githubusercontent.com/SigmanGroup/Ni-Catalyzed-hDA/main/data/kraken.csv
