Reaction_ID,Dataset_Split,Ligand_Group
SIG-NIHDA-401,blind,O=S(=O)(c1ccccc1)N1CC2CC1CP2c1ccccc1
SIG-NIHDA-498,blind,c1cc2c3c(c1)OPOc1cccc4c1C3(CC2)CC4
SIG-NIHDA-723,train,c1ccc(-c2cccc3c2PCO3)cc1
SIG-NIHDA-724,blind,c1cc2c(c(-c3c4ccccc4cc4ccccc34)c1)PCO2
SIG-NIHDA-785,train,c1ccc2c(c1)ccc1o[pH]oc3ccc4ccccc4c3c12
SIG-NIHDA-1057,train,c1ccc(-c2cccc3c2PCO3)cc1
SIG-NIHDA-1058,train,c1ccc(-c2cccc3c2PCO3)cc1
SIG-NIHDA-2062,train,c1ccc2c(CN(Cc3cccc4ccccc34)p3oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)cccc2c1
SIG-NIHDA-2063,train,c1ccc2c(c1)ccc1op(N3CCCCC3)oc3ccc4ccccc4c3c12
SIG-NIHDA-2064,train,c1ccc2c(c1)CCCN2p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1
SIG-NIHDA-2067,train,c1ccc(CN(Cc2ccccc2)p2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1
