stored 0/9878; 0 unique chunks
stored 100/9878; 44 unique chunks
stored 200/9878; 49 unique chunks
stored 300/9878; 79 unique chunks
stored 400/9878; 108 unique chunks
stored 500/9878; 166 unique chunks
stored 600/9878; 226 unique chunks
stored 700/9878; 285 unique chunks
stored 800/9878; 335 unique chunks
stored 900/9878; 385 unique chunks
stored 1000/9878; 435 unique chunks
stored 1100/9878; 486 unique chunks
stored 1200/9878; 546 unique chunks
stored 1300/9878; 606 unique chunks
stored 1400/9878; 660 unique chunks
stored 1500/9878; 710 unique chunks
stored 1600/9878; 760 unique chunks
stored 1700/9878; 810 unique chunks
stored 1800/9878; 866 unique chunks
stored 1900/9878; 926 unique chunks
stored 2000/9878; 985 unique chunks
stored 2100/9878; 1035 unique chunks
stored 2200/9878; 1085 unique chunks
stored 2300/9878; 1135 unique chunks
stored 2400/9878; 1186 unique chunks
stored 2500/9878; 1246 unique chunks
stored 2600/9878; 1306 unique chunks
stored 2700/9878; 1360 unique chunks
stored 2800/9878; 1410 unique chunks
stored 2900/9878; 1460 unique chunks
stored 3000/9878; 1510 unique chunks
stored 3100/9878; 1566 unique chunks
stored 3200/9878; 1627 unique chunks
stored 3300/9878; 1684 unique chunks
stored 3400/9878; 1736 unique chunks
stored 3500/9878; 1800 unique chunks
stored 3600/9878; 1862 unique chunks
stored 3700/9878; 1912 unique chunks
stored 3800/9878; 1962 unique chunks
stored 3900/9878; 2012 unique chunks
stored 4000/9878; 2077 unique chunks
stored 4100/9878; 2130 unique chunks
stored 4200/9878; 2184 unique chunks
stored 4300/9878; 2251 unique chunks
stored 4400/9878; 2306 unique chunks
stored 4500/9878; 2356 unique chunks
stored 4600/9878; 2406 unique chunks
stored 4700/9878; 2459 unique chunks
stored 4800/9878; 2524 unique chunks
stored 4900/9878; 2574 unique chunks
stored 5000/9878; 2631 unique chunks
stored 5100/9878; 2702 unique chunks
stored 5200/9878; 2752 unique chunks
stored 5300/9878; 2802 unique chunks
stored 5400/9878; 2852 unique chunks
stored 5500/9878; 2909 unique chunks
stored 5600/9878; 2970 unique chunks
stored 5700/9878; 3020 unique chunks
stored 5800/9878; 3079 unique chunks
stored 5900/9878; 3146 unique chunks
stored 6000/9878; 3196 unique chunks
stored 6100/9878; 3246 unique chunks
stored 6200/9878; 3285 unique chunks
stored 6300/9878; 3307 unique chunks
stored 6400/9878; 3368 unique chunks
stored 6500/9878; 3406 unique chunks
stored 6600/9878; 3432 unique chunks
stored 6700/9878; 3437 unique chunks
stored 6800/9878; 3469 unique chunks
stored 6900/9878; 3494 unique chunks
stored 7000/9878; 3528 unique chunks
stored 7100/9878; 3571 unique chunks
stored 7200/9878; 3580 unique chunks
stored 7300/9878; 3629 unique chunks
stored 7400/9878; 3692 unique chunks
stored 7500/9878; 3757 unique chunks
stored 7600/9878; 3820 unique chunks
stored 7700/9878; 3884 unique chunks
stored 7800/9878; 3951 unique chunks
stored 7900/9878; 4012 unique chunks
stored 8000/9878; 4076 unique chunks
stored 8100/9878; 4145 unique chunks
stored 8200/9878; 4205 unique chunks
stored 8300/9878; 4270 unique chunks
stored 8400/9878; 4339 unique chunks
stored 8500/9878; 4399 unique chunks
stored 8600/9878; 4454 unique chunks
stored 8700/9878; 4496 unique chunks
stored 8800/9878; 4496 unique chunks
stored 8900/9878; 4507 unique chunks
stored 9000/9878; 4507 unique chunks
stored 9100/9878; 4507 unique chunks
stored 9200/9878; 4524 unique chunks
stored 9300/9878; 4526 unique chunks
stored 9400/9878; 4526 unique chunks
stored 9500/9878; 4543 unique chunks
stored 9600/9878; 4545 unique chunks
stored 9700/9878; 4545 unique chunks
stored 9800/9878; 4561 unique chunks
{
  "files": 9878,
  "unique_chunks": 4567,
  "shared_files": 3119,
  "publication_files": 3094,
  "inherited_chunks": 1,
  "local_chunks": 4566,
  "gzip_blob_bytes": 20111441,
  "max_blob_bytes": 2912653,
  "logical_bytes": 5508516248
}
