Reaction_ID,vbur_boltz,vbur_min,vbur_max,vbur_delta,qvbur_min_boltz,qvbur_max_boltz,max_delta_qvbur_boltz,max_delta_qvbur_min,max_delta_qvbur_max,max_delta_qvbur_delta,max_delta_qvbur_vburminconf,near_vbur_boltz,far_vbur_boltz,conformer_count,sphere_radius,grid_density
SIG-NIHDA-401,49.18116745,48.75670377,50.67993019,1.923226422,10.78220169,15.56622959,4.784027898,4.207786292,6.818711859,2.610925566,4.207786292,49.18116745,0,6,3.5,0.01
SIG-NIHDA-498,58.5204775,58.51270689,58.54767464,0.03496775312,10.88662714,20.16473763,9.138239482,9.138239482,9.138239482,0,9.138239482,57.32121308,1.199264422,9,3.5,0.01
SIG-NIHDA-723,85.46118863,85.46118863,85.46118863,0,11.24796059,37.35721625,25.13015858,25.13015858,25.13015858,0,25.13015858,65.15657998,20.30460865,2,3.5,0.01
SIG-NIHDA-724,80.26264933,80.26264933,80.26264933,0,10.70013246,33.72056993,23.02043747,23.02043747,23.02043747,0,23.02043747,64.51550451,15.74714482,2,3.5,0.01
SIG-NIHDA-785,52.60898456,52.54487702,52.67309212,0.1282150948,10.35045492,17.01763985,6.667184928,6.667184928,6.667184928,0,6.667184928,52.52739314,0.08159142395,2,3.5,0.01
SIG-NIHDA-1057,90.55482467,90.55482467,90.55482467,0,13.8239184,37.75351745,20.88740453,20.88740453,20.88740453,0,20.88740453,69.79563523,20.75918944,1,3.5,0.01
SIG-NIHDA-1058,97.53550937,97.05882675,97.83977323,0.7809464864,16.20460124,37.44183671,16.54822646,15.50237055,17.21579045,1.713419903,15.50237055,75.47539495,22.06011443,2,3.5,0.01
SIG-NIHDA-2062,70.55143231,59.16543828,75.74015326,16.57471498,10.94421571,25.12297514,8.953672524,8.881809293,16.53974723,7.657937934,9.534540684,66.01802089,4.533411421,4,3.5,0.01
SIG-NIHDA-2063,52.70742511,52.34672642,52.99945781,0.6527313916,10.35155939,17.01406296,6.662357455,4.510840153,6.667184928,2.156344776,4.510840153,52.62601899,0.08140611494,5,3.5,0.01
SIG-NIHDA-2064,58.0444425,54.21167326,59.87644926,5.664776006,10.67350596,20.82856955,10.15480483,5.629808253,11.53935853,5.909550277,7.180045308,56.34490129,1.699541203,12,3.5,0.01
SIG-NIHDA-2067,80.48131985,61.79967568,81.85951006,20.05983437,11.1334612,35.98769805,23.11229581,8.112518724,26.0043524,17.89183368,8.112518724,63.95358013,16.52773972,11,3.5,0.01
