Reaction_ID,vbur_boltz,vbur_min,vbur_max,vbur_delta,qvbur_min_boltz,qvbur_max_boltz,max_delta_qvbur_boltz,max_delta_qvbur_min,max_delta_qvbur_max,max_delta_qvbur_delta,max_delta_qvbur_vburminconf,near_vbur_boltz,far_vbur_boltz,conformer_count,sphere_radius,grid_density,Source_ID,official_kraken_max_delta_qvbur_min
SIG-NIHDA-401,49.18115997,48.75670242,50.67992783,1.923225403,10.78219986,15.56622887,4.7840271,4.207785606,6.818712234,2.610926628,4.207785606,49.18115997,0,6,3.5,0.009999999776,401,2.396167563
SIG-NIHDA-498,58.52047729,58.51270294,58.54767227,0.03496932983,10.8866272,20.16473579,9.138238907,9.138237953,9.138237953,0,9.138237953,57.32121277,1.199264407,9,3.5,0.009999999776,498,5.581993141
SIG-NIHDA-723,85.46118164,85.46118164,85.46118164,0,11.24796009,37.35721588,25.13015747,25.13015938,25.13015938,0,25.13015938,65.15657043,20.30460739,2,3.5,0.009999999776,723,19.68183379
SIG-NIHDA-724,80.26264954,80.26264954,80.26264954,0,10.70013237,33.7205658,23.02043533,23.02043724,23.02043724,0,23.02043724,64.51550293,15.7471447,2,3.5,0.009999999776,724,27.06487474
SIG-NIHDA-785,52.6089859,52.54487991,52.67309189,0.1282119751,10.35045433,17.01763916,6.66718483,6.66718483,6.66718483,0,6.66718483,52.52738953,0.08159141988,2,3.5,0.009999999776,785,6.719937405
SIG-NIHDA-1057,90.5548172,90.5548172,90.5548172,0,13.82391739,37.75351715,20.8874054,20.8874054,20.8874054,0,20.8874054,69.79563141,20.7591877,1,3.5,0.009999999776,1057,16.5828183
SIG-NIHDA-1058,97.5355072,97.05882263,97.83976746,0.7809448242,16.20460129,37.4418335,16.5482254,15.50237083,17.21578789,1.713417053,15.50237083,75.4753952,22.06011391,2,3.5,0.009999999776,1058,15.53168412
SIG-NIHDA-2062,70.55142975,59.16543579,75.74015045,16.57471466,10.94421577,25.1229763,8.953672409,8.881809235,16.53974533,7.657936096,9.53454113,66.01802063,4.533411503,4,3.5,0.009999999776,2062,6.923889
SIG-NIHDA-2063,52.70742416,52.34672546,52.99945831,0.6527328491,10.35155964,17.01406288,6.66235733,4.510839462,6.66718483,2.156345367,4.510839462,52.62601471,0.08140611649,5,3.5,0.009999999776,2063,6.195939
SIG-NIHDA-2064,58.04444122,54.21167374,59.87644577,5.664772034,10.67350769,20.82857132,10.15480423,5.629808426,11.53935909,5.909550667,7.180045128,56.34490204,1.699541092,12,3.5,0.009999999776,2064,6.464737
SIG-NIHDA-2067,80.48131561,61.79967499,81.8595047,20.05982971,11.13346004,35.9876976,23.11229897,8.112517357,26.00435257,17.89183426,8.112517357,63.95358658,16.52773857,11,3.5,0.009999999776,2067,9.840917
