Reaction_ID,Conformer_Index,Conformer_XYZ_Path,Boltzmann_Weight,vbur,percent_vbur,qvbur_min,qvbur_max,max_delta_qvbur,ovbur_min,ovbur_max,near_vbur,far_vbur,Coordination_Center_Method,Coordination_Center_X,Coordination_Center_Y,Coordination_Center_Z
SIG-NIHDA-401,0,401/conf_000.xyz,0.06666667,43.802937,24.389925,9.767659,12.378584,2.412775,0.0,12.378584,43.802937,0.0,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,1,401/conf_001.xyz,0.06666667,43.9195,24.454828,9.756002,12.401896,2.4477434,0.0,12.401896,43.919495,0.0,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,2,401/conf_002.xyz,0.06666667,43.9195,24.454828,9.756002,12.401896,2.4477434,0.0,12.401896,43.919495,0.0,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,3,401/conf_003.xyz,0.06666667,47.82423,26.629023,9.90753,15.828735,5.827958,0.0,15.6422415,47.637733,0.1864947,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,4,401/conf_004.xyz,0.06666667,47.835884,26.635513,9.90753,15.840392,5.839615,0.0,15.653896,47.64939,0.1864947,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,5,401/conf_005.xyz,0.06666667,43.872875,24.42887,9.767659,12.378584,2.4360867,0.0,12.378584,43.872875,0.0,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,6,401/conf_006.xyz,0.06666667,47.835884,26.635513,9.90753,15.840392,5.839615,0.0,15.653896,47.64939,0.1864947,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,7,401/conf_007.xyz,0.06666667,45.015152,25.0649,9.930841,13.077939,3.0771618,0.0,13.077939,45.015152,0.0,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,8,401/conf_008.xyz,0.06666667,61.601524,34.30036,10.035745,27.426374,16.714586,0.0,18.194887,51.111195,10.490326,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,9,401/conf_009.xyz,0.06666667,43.802937,24.389925,9.767659,12.378584,2.412775,0.0,12.378584,43.802937,0.0,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,10,401/conf_010.xyz,0.06666667,45.038467,25.077883,9.930841,13.101252,3.1004744,0.0,13.101252,45.038467,0.0,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,11,401/conf_011.xyz,0.06666667,43.9195,24.454828,9.756002,12.401896,2.4477434,0.0,12.401896,43.919495,0.0,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,12,401/conf_012.xyz,0.06666667,43.9195,24.454828,9.756002,12.401896,2.4477434,0.0,12.401896,43.919495,0.0,geometric_opposed_substituent_vector,,,
SIG-NIHDA-401,13,401/conf_013.xyz,0.06666667,45.003498,25.05841,9.930841,13.066283,3.065506,0.0,13.066283,45.003498,0.0,geometric_opposed_substituent_vector,,,
