Reaction_ID,Ligand_XYZ_Path,Attach_Atom_Idx,Primary_Bond_Vector_Idx,NBO_Charge,IR_Frequency,Temp_K,Exp_ddG_kcal_mol,Conformer_XYZ_Paths,Conformer_Relative_Energies_kcal_mol,Conformer_Boltzmann_Weights,Conformer_Count,Ensemble_Energy_Span_kcal_mol,Ligand_SMILES,Ligand_Group,Dataset_Split,Source_ID,Source_URL
SIG-NIHDA-401,401/conf_000.xyz,14,10,0.0,0.0,298.15,0.0,401/conf_000.xyz;401/conf_001.xyz;401/conf_002.xyz;401/conf_003.xyz;401/conf_004.xyz;401/conf_005.xyz;401/conf_006.xyz;401/conf_007.xyz;401/conf_008.xyz;401/conf_009.xyz;401/conf_010.xyz;401/conf_011.xyz;401/conf_012.xyz;401/conf_013.xyz;401/conf_014.xyz,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667;0.0666666667,15,0.0,,kraken_dft,reference,401,https://descriptor-libraries.molssi.org/api/kraken/molecules/401
SIG-NIHDA-498,498/conf_000.xyz,3,1,0.0,0.0,298.15,0.0,498/conf_000.xyz;498/conf_001.xyz,0.0;0.0,0.5000000000;0.5000000000,2,0.0,,kraken_dft,reference,498,https://descriptor-libraries.molssi.org/api/kraken/molecules/498
SIG-NIHDA-723,723/conf_000.xyz,16,21,0.0,0.0,298.15,0.0,723/conf_000.xyz;723/conf_001.xyz;723/conf_002.xyz;723/conf_003.xyz;723/conf_004.xyz;723/conf_005.xyz;723/conf_006.xyz;723/conf_007.xyz,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.1250000000;0.1250000000;0.1250000000;0.1250000000;0.1250000000;0.1250000000;0.1250000000;0.1250000000,8,0.0,,kraken_dft,reference,723,https://descriptor-libraries.molssi.org/api/kraken/molecules/723
SIG-NIHDA-724,724/conf_000.xyz,4,1,0.0,0.0,298.15,0.0,724/conf_000.xyz;724/conf_001.xyz,0.0;0.0,0.5000000000;0.5000000000,2,0.0,,kraken_dft,reference,724,https://descriptor-libraries.molssi.org/api/kraken/molecules/724
SIG-NIHDA-785,785/conf_000.xyz,2,1,0.0,0.0,298.15,0.0,785/conf_000.xyz;785/conf_001.xyz,0.0;0.0,0.5000000000;0.5000000000,2,0.0,,kraken_dft,reference,785,https://descriptor-libraries.molssi.org/api/kraken/molecules/785
SIG-NIHDA-1057,1057/conf_000.xyz,16,15,0.0,0.0,298.15,0.0,1057/conf_000.xyz;1057/conf_001.xyz;1057/conf_002.xyz;1057/conf_003.xyz;1057/conf_004.xyz,0.0;0.0;0.0;0.0;0.0,0.2000000000;0.2000000000;0.2000000000;0.2000000000;0.2000000000,5,0.0,,kraken_dft,reference,1057,https://descriptor-libraries.molssi.org/api/kraken/molecules/1057
SIG-NIHDA-1058,1058/conf_000.xyz,16,15,0.0,0.0,298.15,0.0,1058/conf_000.xyz;1058/conf_001.xyz;1058/conf_002.xyz;1058/conf_003.xyz;1058/conf_004.xyz;1058/conf_005.xyz;1058/conf_006.xyz;1058/conf_007.xyz;1058/conf_008.xyz;1058/conf_009.xyz;1058/conf_010.xyz;1058/conf_011.xyz;1058/conf_012.xyz;1058/conf_013.xyz,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714,14,0.0,,kraken_dft,reference,1058,https://descriptor-libraries.molssi.org/api/kraken/molecules/1058
SIG-NIHDA-2062,2062/conf_000.xyz,25,12,0.0,0.0,298.15,0.0,2062/conf_000.xyz;2062/conf_001.xyz;2062/conf_002.xyz;2062/conf_003.xyz;2062/conf_004.xyz;2062/conf_005.xyz;2062/conf_006.xyz;2062/conf_007.xyz;2062/conf_008.xyz;2062/conf_009.xyz;2062/conf_010.xyz;2062/conf_011.xyz;2062/conf_012.xyz;2062/conf_013.xyz;2062/conf_014.xyz;2062/conf_015.xyz;2062/conf_016.xyz;2062/conf_017.xyz;2062/conf_018.xyz;2062/conf_019.xyz;2062/conf_020.xyz;2062/conf_021.xyz;2062/conf_022.xyz,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609;0.0434782609,23,0.0,,kraken_dft,reference,2062,https://descriptor-libraries.molssi.org/api/kraken/molecules/2062
SIG-NIHDA-2063,2063/conf_000.xyz,6,0,0.0,0.0,298.15,0.0,2063/conf_000.xyz;2063/conf_001.xyz;2063/conf_002.xyz;2063/conf_003.xyz;2063/conf_004.xyz;2063/conf_005.xyz;2063/conf_006.xyz;2063/conf_007.xyz;2063/conf_008.xyz;2063/conf_009.xyz;2063/conf_010.xyz;2063/conf_011.xyz,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0833333333;0.0833333333;0.0833333333;0.0833333333;0.0833333333;0.0833333333;0.0833333333;0.0833333333;0.0833333333;0.0833333333;0.0833333333;0.0833333333,12,0.0,,kraken_dft,reference,2063,https://descriptor-libraries.molssi.org/api/kraken/molecules/2063
SIG-NIHDA-2064,2064/conf_000.xyz,10,0,0.0,0.0,298.15,0.0,2064/conf_000.xyz;2064/conf_001.xyz;2064/conf_002.xyz;2064/conf_003.xyz;2064/conf_004.xyz;2064/conf_005.xyz;2064/conf_006.xyz;2064/conf_007.xyz;2064/conf_008.xyz;2064/conf_009.xyz;2064/conf_010.xyz;2064/conf_011.xyz;2064/conf_012.xyz,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0769230769;0.0769230769;0.0769230769;0.0769230769;0.0769230769;0.0769230769;0.0769230769;0.0769230769;0.0769230769;0.0769230769;0.0769230769;0.0769230769;0.0769230769,13,0.0,,kraken_dft,reference,2064,https://descriptor-libraries.molssi.org/api/kraken/molecules/2064
