Source_ID,kraken_published,stericx_on_dft
1,2.762234192,2.6925182
2,2.246603198,2.3078718
3,2.33027557,2.412775
4,2.075074834,2.1330338
5,3.358399846,3.3918715
6,1.445440232,1.4453335
7,2.411856133,2.4244318
8,1.383731858,1.352087
9,2.932716651,2.9256363
10,2.476702222,2.774108
11,1.484138705,1.3987112
12,6.593382942,6.131014
13,3.91900474,4.650711
14,6.057879759,6.364132
15,2.924349414,2.9023237
16,1.351308814,1.3287745
17,1.337712053,1.2821503
18,1.355492432,1.2588387
19,5.239982319,5.1402597
20,1.351308814,1.2588406
21,1.392099095,1.3171186
22,0.711215165,0.6993551
23,3.998493494,3.9397001
24,2.630450206,2.5643005
25,5.982574624,6.072733
26,2.37524947,2.3311834
27,6.307850971,6.3175077
28,2.106451974,2.121377
29,3.830102845,3.7998285
30,2.722489816,2.7507963
31,4.481701444,5.0470123
32,1.767578866,1.8766031
33,4.712846373,4.7439575
34,2.801978569,2.8090763
35,5.546432383,5.5249043
36,24.53587729,24.244307
37,22.97434164,23.20693
38,6.017089477,6.0843887
39,5.115519665,4.7905827
40,2.509125266,2.6808615
41,5.951197484,6.002797
42,3.930509692,4.3942804
43,12.4483572,12.448519
44,3.186871482,3.5433989
45,3.266360236,3.0421944
46,5.339343261,5.3384104
47,3.20883548,3.6016788
48,3.514239639,3.2636566
49,5.531789718,5.641466
50,6.635219128,6.550626
51,5.393730303,5.478279
52,3.335389943,3.3918743
53,4.307035367,4.37097
54,1.169321404,1.1539354
55,4.814299125,4.8022385
56,3.049857972,2.9722595
57,4.015227969,3.5200863
58,6.331906778,5.5831842
59,4.04032968,3.8697653
60,3.296691471,3.298624
61,1.342941576,1.2938061
62,1.312610341,1.2238712
63,4.942945397,4.9304523
64,7.058810513,6.9236135
65,3.325976801,3.3335924
66,2.592797638,2.5759583
67,2.206858821,2.6342373
68,3.027893975,2.8790112
69,3.017434928,2.9256363
70,0.899478003,0.83922577
71,4.793381031,5.2917843
72,2.354331377,2.3078718
73,3.000700454,3.0771627
74,2.865778753,2.9256353
75,2.324000142,2.2729025
76,2.852181993,2.820732
77,3.217202717,3.182065
78,2.022779602,1.8649464
79,1.448577946,1.4103651
80,3.22243224,3.112131
81,3.701456572,3.6949263
82,1.325161197,1.2821503
83,1.390007286,1.3637428
84,2.747591527,2.8207312
85,2.162930825,2.237936
86,1.359676051,1.3287745
87,2.425452894,2.7507982
88,2.366882233,2.7158298
89,11.82499802,11.819098
90,19.39734772,19.162329
91,4.633357619,4.1495075
92,24.10705638,23.708136
93,3.982804924,3.834797
94,12.63243642,12.471831
95,4.683561043,4.6273994
99,28.97469664,28.918333
100,28.96214579,29.116482
101,4.487976872,4.0329466
102,5.560029143,5.5132484
103,9.993618974,10.105681
104,6.450094004,6.352475
105,9.333653137,8.706972
106,8.816976237,8.299014
107,9.852421845,9.47626
108,3.293553757,3.3102798
109,3.453577169,3.3452482
110,1.216387113,1.2005596
111,2.257062244,2.1446896
113,2.226731009,2.3078709
114,1.488322323,1.4103651
115,2.410810229,2.4244308
116,2.166068539,2.2262802
117,1.491460037,1.410366
118,1.411971284,1.3753986
119,3.656482672,3.5550556
120,2.95258884,2.948946
121,3.674263051,3.6366463
122,4.378156884,4.429249
123,9.416279604,9.39467
124,1.158862357,1.2821503
125,8.956081556,9.021681
126,1.326207102,1.2821503
127,14.85916743,15.001165
128,5.487861722,5.233508
129,2.291577098,2.237937
130,4.544455724,4.6390553
131,1.72574268,1.6901073
132,1.565719268,1.4919577
133,1.333528434,1.2821503
134,2.259154054,1.9581938
135,3.521560972,3.4967747
136,0.799071156,0.89750576
137,1.643116212,1.5735493
138,4.510986775,4.3243446
139,4.13236929,4.3360004
140,4.174205476,4.82555
141,3.175366531,3.6716137
142,5.43347468,5.408346
143,3.05822521,3.648303
144,2.717260292,3.2869692
145,6.737717784,6.0960445
146,4.392799549,4.464217
147,1.581407838,1.5618925
148,1.591866884,1.5618925
149,3.094831873,3.1004734
150,1.540617556,1.53858
151,1.874261141,1.7600441
152,2.254970435,2.1446896
153,2.340734617,2.296215
154,2.980828265,2.832387
155,1.580361933,1.4919577
156,0.262522068,0.25642967
157,1.897271043,1.8066664
158,2.203721107,2.237936
159,1.77071658,1.829979
160,1.987218844,1.946538
161,2.55723688,2.599269
162,2.142012732,2.2262793
163,8.406981613,6.900304
164,2.358514996,2.6109266
165,2.61789935,2.7857647
166,2.732948862,2.832388
167,3.42010822,3.2753124
168,2.039514076,2.0747528
169,3.972345878,4.009635
170,3.162815675,2.995572
171,2.804070379,2.9722586
172,3.750614091,3.7998295
173,3.325976801,3.2636566
174,2.510171171,2.704173
175,2.108543783,2.0514421
176,1.30110539,1.352087
177,7.186410881,6.772089
178,2.154563588,1.9931622
179,5.241028224,5.3966894
180,2.321908333,2.004818
181,2.248695007,2.3078709
182,3.618830105,3.659957
183,2.66496506,2.7158298
184,1.973622083,1.8766031
185,2.319816524,2.3661509
186,1.463220612,1.4336777
187,1.481000991,1.4569902
188,3.833240559,3.9163876
189,4.503665442,4.522496
190,3.191055101,3.240345
191,2.914936272,2.8673553
192,10.32517075,10.432047
193,3.020572642,3.0771618
194,9.326331804,9.546196
195,2.855319707,2.7857637
196,2.98187417,2.9606028
197,1.308426723,1.2588387
198,2.909706749,2.9023228
199,1.351308814,1.2821503
200,2.935854365,2.8556995
201,2.864732849,2.8323889
202,2.826034376,2.7507963
203,14.84243295,15.047789
204,9.225924957,9.371358
205,4.246372897,4.417592
206,6.738763689,6.7604313
207,6.757589973,7.005206
208,4.994194725,5.0936365
209,2.982920075,3.356904
210,3.892857124,4.417592
211,1.735155822,1.7483883
212,3.775715803,3.881421
213,4.268336895,4.0446033
214,15.02337446,14.2785
215,6.256601643,6.550625
216,3.912729312,4.6740236
217,2.600118971,2.412774
218,2.595935352,2.4477434
219,2.843814756,2.8440447
220,1.962117132,2.0397854
221,1.500873179,1.5385809
222,3.11888768,3.123786
223,3.282048806,3.2520008
224,3.935739215,3.9280443
225,1.465312421,1.5036125
226,2.161884921,1.9815063
227,7.645563024,7.716217
228,1.326207102,1.3287754
229,5.834056163,5.897895
230,1.599188217,1.5968609
231,1.834516764,1.7600431
232,1.360721955,1.3171177
233,1.323069388,1.2821512
234,10.50402044,10.560262
235,1.135852455,1.2588387
236,1.456945184,1.5036144
237,4.748407131,4.70899
238,4.095762627,4.231097
239,1.405695856,1.3404303
240,1.46740423,1.5502367
241,2.464151366,2.4011192
242,1.362813765,1.3054619
243,0.6066247,0.66438675
244,2.42022337,2.412775
245,7.817091388,7.669594
246,1.334574339,1.2704954
247,4.581062387,4.3243456
248,3.099015491,3.5783672
249,1.322023483,1.2821512
250,4.718075896,4.7905836
251,0.982104471,1.0257215
252,2.206858821,2.1446886
253,3.105290919,3.0188847
254,5.745154267,2.6225805
255,3.312380041,3.3219366
256,3.728650093,3.7298946
257,2.252878626,2.2029676
258,7.637195787,6.550625
259,2.877283704,2.7507963
260,3.98175902,4.079571
261,1.278095488,1.2122154
262,4.584200101,4.6973352
263,1.843929906,2.0747528
264,1.722604966,1.6318283
265,3.249625761,3.1354418
266,4.184664523,4.231098
267,3.532020018,3.7998295
268,4.308081272,4.429249
269,9.102508208,8.765251
271,4.173159571,4.126196
272,2.397213468,2.2612476
273,2.088671595,2.0397854
274,5.926095772,5.8512707
275,1.816736385,1.7134199
276,23.33204103,23.171963
277,2.849044279,2.8673573
278,2.385708517,2.3428383
279,1.347125195,1.293807
280,6.303667353,6.655529
281,4.067523201,4.359312
282,3.783037135,3.7998285
284,2.878329609,2.8557005
285,3.159677961,3.4618082
286,6.953174143,7.063486
287,4.348871553,4.231098
288,2.022779602,1.8532906
289,3.81336837,3.9163885
290,3.273681569,3.1470985
291,11.08972705,10.210583
292,20.56771503,19.488695
293,8.130862784,7.7978086
294,4.178389095,4.2777205
295,21.99746669,21.714973
296,21.9085648,20.747532
297,5.759796932,5.8629265
298,7.393500003,7.494755
299,22.09578173,20.805813
300,2.069845311,1.9348822
301,3.374088415,3.473464
302,2.493436696,2.5759583
303,8.874500993,9.639443
304,15.28380472,15.164349
305,2.944221602,2.9023237
306,4.224408899,4.6973352
307,7.622553122,7.1567345
308,5.241028224,5.3850327
309,9.158987059,9.79097
310,23.14064048,21.924782
311,3.100061396,3.5084324
312,2.395121659,2.3778076
313,4.786059699,3.8581085
314,3.705640191,4.009636
315,8.667411872,8.357292
316,4.871823881,5.116949
317,5.654160562,5.956174
318,5.715868937,5.851269
319,4.506803156,4.0795727
320,2.091809309,2.2729034
321,3.232891287,3.2753143
322,16.42488669,15.712175
323,20.45266552,19.220608
324,2.025917316,2.121377
326,5.270313554,4.7439575
327,2.535272882,2.7857647
328,3.079143303,2.9722576
329,2.272750814,2.4127731
330,21.38247476,20.596008
331,2.120048735,2.2612495
332,2.327137856,2.4011192
333,2.555145071,2.8673553
334,2.336550998,2.48271
335,4.377110979,4.4409046
336,11.27066856,10.187271
337,2.279026242,2.471054
338,4.713892278,4.953765
339,1.038583322,1.0490332
340,20.30414706,19.278887
341,2.112727402,2.179656
342,3.758981328,3.706582
343,4.301805844,4.37097
344,11.80094222,12.4018955
345,4.031962443,4.1495056
346,7.825458625,7.9260244
347,8.458230941,8.905121
348,7.329699819,7.145076
349,4.083211771,4.487528
350,6.79524254,6.888646
351,2.651368299,2.5992699
352,5.679262274,6.0261106
353,3.888673505,3.7998285
354,1.334574339,1.293807
355,2.364790424,2.3311834
356,2.935854365,3.1004753
357,3.085418731,3.2286901
358,4.671010187,5.2917852
363,5.427199252,5.256819
364,3.970254068,3.9047327
365,5.168860802,5.4666243
366,1.345033386,1.3054628
368,3.473449358,3.473464
369,8.725982532,9.464605
370,17.17689214,16.714584
371,6.34131992,6.5622816
372,3.333298134,3.648303
373,5.416740206,5.373378
374,3.386639271,3.415184
375,1.12120979,1.1889038
376,1.312610341,1.3054628
377,2.181757109,2.1097212
378,2.584430401,2.48271
379,2.66496506,2.8440447
380,2.651368299,2.7507973
381,1.082511317,1.0723448
382,3.753751805,3.6716137
383,5.738878839,5.7580233
384,2.188032537,2.063097
385,2.173389872,2.1446877
386,2.263337672,2.179657
387,4.489022777,4.662366
388,3.243350334,3.3802156
389,2.262291768,2.2029676
390,3.673217147,3.8114853
391,0.562696704,0.5944519
392,2.447416891,2.3661509
393,3.039398926,2.9955702
394,2.500758029,2.482709
395,2.324000142,2.237936
396,4.366651932,4.3826256
397,3.264268427,2.9955702
398,2.116911021,1.9348812
399,1.418246711,1.4336786
400,3.063454733,2.7624512
401,2.396167563,2.412775
402,2.357469091,2.354495
403,2.830217995,2.5992699
404,2.395121659,2.4244308
405,3.28309471,3.007227
406,4.724351324,4.359312
407,6.423946388,6.305852
408,2.86054923,2.5409899
409,2.8312639,2.6109257
410,2.999654549,2.7274847
411,2.434866036,2.412775
412,0.722720116,0.7692909
413,1.337712053,1.235528
414,0.837769628,0.9208174
415,3.975483592,4.534151
416,3.458806692,3.8464527
417,1.585591456,1.5502377
418,3.519469162,3.356904
423,5.029755483,4.5108404
424,9.6850771,7.7511835
425,8.077521647,6.958584
426,4.144920146,2.948948
427,3.951427785,2.890667
428,6.025456714,6.6788406
429,6.55468447,6.7953997
430,5.118657379,4.4525595
431,16.70309733,15.700521
432,4.899017402,4.9654217
433,1.586637361,1.9348812
434,1.359676051,1.6901073
435,7.331791628,7.529723
436,6.234637645,6.422409
437,3.58640706,3.415183
438,3.216156813,2.9955702
439,3.667987623,3.7881737
440,1.989310653,1.8649473
441,4.500527728,4.662368
442,4.666826568,5.2218523
443,4.832079504,4.6157436
444,3.517377353,3.4618073
445,0.561650799,0.5944519
446,1.206973971,1.235527
447,1.596050503,1.6085167
448,3.716099237,3.834797
449,3.418016411,3.298627
450,4.380248693,4.6973352
451,1.395236809,1.3287745
452,2.262291768,2.3195276
453,1.083557222,1.1422796
454,0.848228675,0.8392267
455,1.260315109,1.2588396
456,3.11888768,3.0888186
457,1.305289009,1.1655922
458,3.462990311,3.6249905
459,4.787105604,4.067915
460,1.69436554,1.6318283
461,2.024871411,1.8766022
462,1.428705758,1.3520861
463,2.430682417,2.354497
464,2.565604117,2.3661509
465,2.780014572,2.6925163
466,2.99756274,3.1937218
467,2.850090183,2.774109
468,3.985942638,3.123786
469,1.366997383,1.3870535
470,3.684722098,2.4943657
471,7.854743955,8.019271
472,3.407557364,3.240345
473,3.79977161,3.7298927
474,10.67136519,10.338799
475,3.149218915,3.1937218
476,4.152241478,4.1611624
477,2.942129793,2.4943666
478,0.858687721,1.235527
479,0.789658014,1.3870544
480,3.418016411,3.648302
481,1.416154902,1.2238712
482,3.255901189,4.1495056
483,3.206743671,3.2053776
484,3.944106452,4.4991837
485,1.84706762,1.8766022
486,1.386869572,1.3404312
487,1.426613949,1.3870544
488,2.737132481,2.7274857
489,1.743523059,1.7367315
490,3.880306268,3.893076
491,2.547823738,2.7274837
492,4.928302732,5.3850336
493,2.04265179,1.9815063
494,14.98467598,14.896262
495,2.462059557,2.4477434
496,8.033593651,8.030928
497,4.694020089,4.5108404
498,5.581993141,5.431658
499,3.070776066,3.1354418
500,3.429521362,4.079571
501,1.488322323,1.8416357
502,4.587337815,3.0421944
503,4.543409819,4.6856794
504,4.585246005,4.2077866
505,2.710984864,3.1704092
506,4.017319778,3.543398
507,3.063454733,2.7857647
508,2.813483521,2.832388
509,2.774785048,2.7391415
510,3.070776066,3.4618073
511,4.002677113,3.8581085
512,2.70993896,3.2170343
513,7.62882855,6.527315
514,4.835217218,4.417593
515,2.959910172,3.6249905
516,2.580246783,2.5759583
517,4.401166786,4.4409046
518,3.795587991,3.7998295
519,1.557352031,1.8532906
520,11.19327161,12.669981
521,4.775600652,3.6949244
522,1.13480655,1.118967
523,1.489368228,1.5152693
524,1.460082898,1.5152693
525,0.920396096,1.2704954
527,4.039283776,4.231097
528,3.299829185,3.415184
529,3.881352173,3.9746675
530,2.277980337,2.3428402
531,3.374088415,3.4501524
532,4.005814827,4.2660666
533,5.588268569,5.0936365
534,12.54353452,12.425209
535,1.692273731,1.5852051
536,3.791404372,3.5433989
537,1.637886689,1.6318283
538,0.832540105,0.9907532
539,18.21024594,17.565466
540,4.256831944,5.699744
541,2.331321475,2.2729034
542,4.798610555,4.3942823
543,2.144104542,2.1913128
544,2.291577098,2.1680012
545,2.357469091,2.3428383
547,2.982920075,2.9606037
548,3.516331448,3.531744
549,3.676354861,3.8114834
550,1.699595064,1.7483883
551,3.020572642,2.9955711
552,0.840907342,0.87419415
553,1.359676051,1.3171186
554,0.977920852,1.0257206
555,3.824873321,3.5667114
556,1.571994696,1.5385809
557,0.922487905,0.9907532
558,3.594774297,3.648302
559,6.974092236,5.7463675
560,1.390007286,1.3404312
561,1.311564437,1.235527
562,1.327253007,1.2355261
563,8.793966335,8.800219
564,2.580246783,2.715828
565,3.972345878,5.5015936
566,1.231029778,1.2238722
567,1.853343048,2.0864096
568,5.982574624,6.6322184
569,2.902385416,2.3778076
570,2.793611332,2.8090763
574,5.726327983,6.5040016
575,4.005814827,5.8745823
576,3.922142454,4.0329466
577,1.309472627,1.3520861
578,2.248695007,2.0164738
579,1.28541682,1.2471838
580,1.31679396,1.2588387
581,1.324115293,1.2821512
582,1.386869572,1.3171177
583,1.365951479,1.2938061
584,3.566534872,3.5667114
586,3.58640706,3.648302
587,5.382225352,5.53656
588,1.547938889,1.5269251
589,1.634748975,1.6201735
590,2.706801246,3.3102808
591,5.171998516,3.9746675
594,4.403258595,4.312689
595,4.258923753,4.639056
598,4.128185671,4.2194414
600,3.86043408,4.767271
602,4.125047957,4.778925
604,1.416154902,1.352087
606,10.19234086,9.126582
607,4.041375585,4.126194
608,6.416625055,6.352475
609,2.776876858,2.6925154
610,2.284255765,2.237936
611,2.811391711,2.7274847
612,8.596290355,7.3898516
614,3.077051493,3.0421944
615,5.50773391,4.7323017
617,2.046835409,2.2262793
618,2.667056869,2.704173
622,4.992102916,4.8721743
623,3.39082289,3.415184
625,2.01336646,2.0514412
638,7.093325367,7.063487
639,5.864387398,6.3874426
640,2.661827346,3.1121302
641,8.739579293,8.602068
642,3.514239639,3.3102818
643,2.929578937,3.0538502
644,1.076235889,0.9674406
645,2.261245863,2.471055
646,1.597096407,1.5502367
647,4.102038055,4.056259
648,4.437773449,4.5691204
649,3.230799478,3.065507
650,3.982804924,4.2194424
651,4.936669969,4.8605175
652,3.450439455,3.4967756
653,2.378387184,2.2495918
654,4.866594357,5.012044
655,2.340734617,2.6342373
656,5.483678103,5.548218
657,4.941899492,4.4409065
658,1.983035225,2.004816
659,1.069960462,1.0840006
660,6.300529639,6.177637
661,3.895994838,3.893076
662,4.149103764,3.7648602
663,2.78629,3.123786
664,3.162815675,3.4035282
665,3.028939879,3.182066
666,3.126209012,2.7041721
667,3.169091103,3.182066
668,2.866824658,2.9023228
669,2.37524947,2.3078718
670,4.097854436,4.4991837
671,4.027778824,4.0912275
672,3.862525889,3.893076
673,3.696227049,3.893077
674,3.022664451,3.2636585
675,3.529928209,3.3452482
676,3.146081201,3.1587543
677,1.318885769,1.2821512
678,3.461944406,3.2170334
679,5.530743813,5.3966904
680,1.3481711,1.3404303
681,2.570833641,2.7274857
682,4.200353092,4.417592
683,1.335620244,1.293807
684,7.690536924,7.6929064
685,4.967001204,4.883829
686,3.828011035,3.8464518
687,2.912844463,3.0538511
688,4.063339583,4.545807
689,1.40883357,1.3287745
690,1.456945184,1.410367
691,1.460082898,1.4220219
692,1.833470859,2.063097
693,2.500758029,2.5759583
694,6.104945468,6.014453
695,2.289485289,2.3428411
696,3.273681569,3.2170343
697,0.850320484,0.885849
698,1.133760645,1.0140648
699,0.933992856,0.9324722
700,2.30099024,2.6692038
701,2.851136088,2.9722576
702,4.575832863,4.8605185
703,1.341895672,1.2005596
704,4.37292736,4.5691195
705,1.644162117,1.771699
706,2.468334985,2.412774
707,3.597912011,3.3918724
708,4.756774369,4.5224953
709,4.575832863,5.2684746
710,6.737717784,7.9843054
712,0.852412293,0.885849
714,3.199422338,2.8557005
715,3.95038188,3.8231401
716,2.821850758,2.8673553
717,3.382455653,3.7765179
718,3.849975033,4.2077856
720,3.72342057,3.9047318
721,4.052880536,4.0912275
722,5.720052555,5.116947
723,19.68183379,19.278889
724,27.06487474,26.598804
725,9.153757536,9.126583
726,4.860318929,5.2917843
727,3.213019099,3.6133356
728,1.792680578,1.771699
729,3.676354861,3.764862
730,4.659505236,5.3384104
731,3.192101005,3.2753124
732,4.984781583,4.953765
733,3.243350334,3.1587543
734,7.041030134,6.8769913
735,1.734109917,1.7017632
736,5.743062458,6.0960445
737,8.478103129,8.135831
738,1.046950559,1.0490322
739,0.718536498,0.74597836
740,4.158516906,4.0795717
741,2.382570803,2.6925163
756,1.460082898,1.3987112
757,2.412902038,2.3428392
758,1.90563828,1.8416348
759,1.364905574,1.3287745
760,1.366997383,1.4103651
761,1.527020796,1.4336777
762,1.405695856,1.3637409
763,1.471587849,1.4453335
764,1.77071658,1.7017641
765,4.878099308,4.9187965
766,5.00883739,4.8138933
767,1.622198119,1.5502386
768,1.98408113,1.8999157
769,5.483678103,5.524905
770,1.879490664,1.8532906
771,4.880191118,5.3384104
772,2.176527586,3.6366472
773,2.611623922,2.599269
774,4.094716722,4.825548
775,4.385478216,5.012045
776,4.502619538,5.1052904
777,2.198491584,2.179657
