split_id,stratum,permutation,ranking,top1_recovery,top2_recall,rank_of_best,spearman_rho,ndcg,candidate_mean_ddg,selected_top1_ddg,selected_top2_mean_ddg,top1_gain_over_panel_mean,top2_gain_over_panel_mean,top1_outcome_enrichment,top2_outcome_enrichment
S001,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-498|SIG-NIHDA-724,0.0,0.5,3,-1.0,0.5346077492906207,0.7708120026666666,0.056166692,0.0843402905,-0.7146453106666666,-0.6864717121666666,0.07286691411873224,0.10941745874249507
S001,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-724|SIG-NIHDA-498,0.0,0.5,2,-0.5,0.6531857484910619,0.7708120026666667,0.056166692,1.0999610595,-0.7146453106666667,0.3291490568333333,0.07286691411873222,1.4270159983168709
S001,three_singleton_scaffolds,3,SIG-NIHDA-498|SIG-NIHDA-401|SIG-NIHDA-724,0.0,0.5,3,-0.5,0.5438800082061435,0.7708120026666666,0.112513889,0.0843402905,-0.6582981136666666,-0.6864717121666666,0.14596800336625793,0.10941745874249507
S001,three_singleton_scaffolds,4,SIG-NIHDA-498|SIG-NIHDA-724|SIG-NIHDA-401,0.0,1.0,2,0.5,0.6657473936050334,0.7708120026666667,0.112513889,1.128134658,-0.6582981136666667,0.3573226553333333,0.1459680033662579,1.4635665429406337
S001,three_singleton_scaffolds,5,SIG-NIHDA-724|SIG-NIHDA-401|SIG-NIHDA-498,1.0,0.5,1,0.5,0.9967106138015512,0.7708120026666667,2.143755427,1.0999610595,1.3729434243333332,0.3291490568333333,2.7811650825150096,1.4270159983168709
S001,three_singleton_scaffolds,6,SIG-NIHDA-724|SIG-NIHDA-498|SIG-NIHDA-401,1.0,1.0,1,1.0,1.0,0.7708120026666667,2.143755427,1.128134658,1.3729434243333332,0.3573226553333333,2.7811650825150096,1.4635665429406337
S002,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-498|SIG-NIHDA-785,0.0,0.5,3,-1.0,0.56147250248705,0.44409140966666666,0.056166692,0.0843402905,-0.38792471766666664,-0.3597511191666667,0.12647552007853183,0.18991650967377527
S002,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-785|SIG-NIHDA-498,0.0,0.5,2,-0.5,0.6704622782542441,0.4440914096666666,0.056166692,0.6098801699999999,-0.3879247176666666,0.16578876033333334,0.12647552007853183,1.3733212503654908
S002,three_singleton_scaffolds,3,SIG-NIHDA-498|SIG-NIHDA-401|SIG-NIHDA-785,0.0,0.5,3,-0.5,0.577942483081816,0.44409140966666666,0.112513889,0.0843402905,-0.3315775206666667,-0.3597511191666667,0.25335749926901874,0.18991650967377527
S002,three_singleton_scaffolds,4,SIG-NIHDA-498|SIG-NIHDA-785|SIG-NIHDA-401,0.0,1.0,2,0.5,0.6927750774491729,0.4440914096666666,0.112513889,0.6380537685,-0.33157752066666657,0.19396235883333335,0.2533574992690188,1.4367622399607343
S002,three_singleton_scaffolds,5,SIG-NIHDA-785|SIG-NIHDA-401|SIG-NIHDA-498,1.0,0.5,1,0.5,0.9941571813998373,0.4440914096666666,1.163593648,0.6098801699999999,0.7195022383333334,0.16578876033333334,2.6201669806524497,1.3733212503654908
S002,three_singleton_scaffolds,6,SIG-NIHDA-785|SIG-NIHDA-498|SIG-NIHDA-401,1.0,1.0,1,1.0,1.0,0.4440914096666666,1.163593648,0.6380537685,0.7195022383333334,0.19396235883333335,2.6201669806524497,1.4367622399607343
S003,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-498|SIG-NIHDA-2062,0.0,0.5,3,-1.0,0.6753741075015125,0.170733667,0.056166692,0.0843402905,-0.11456697500000002,-0.08639337650000001,0.3289725628630702,0.49398746001279287
S003,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-2062|SIG-NIHDA-498,0.0,0.5,2,-0.5,0.7437115820806472,0.170733667,0.056166692,0.199843556,-0.11456697500000002,0.029109889,0.3289725628630702,1.1704988214187422
