split_id,stratum,reaction_id,predicted_rank,predicted_ddg_kcal_mol,fit_frozen_prediction_kcal_mol,screen_minus_fit_prediction_kcal_mol,domain_verdict,applicability,trust,nearest_training_distance,nearest_training_ligand,nearest_training_threshold,nearest_training_ratio,mahalanobis_distance,maximum_extrapolation,leverage,leverage_ratio,prediction_interval_low,prediction_interval_high,coefficient_band_low,coefficient_band_high,bootstrap_mean_low,bootstrap_mean_high,descriptors_json,selected_features,model_seed,observed_ddg_kcal_mol,observed_rank,residual_kcal_mol,absolute_error_kcal_mol,prediction_interval_covers,is_observed_best
S001,three_singleton_scaffolds,SIG-NIHDA-724,1,1.5366100810947216,1.5366101,-1.8905278453829055e-08,interpolation,inside_training_range,reliable,0.0007373191640389631,SIG-NIHDA-1058,0.028833405555307334,0.025571698862441365,1.2032054262033165,0.0,0.3318147568064435,0.4424196757419247,0.38935501176110376,2.6838651504283395,0.12557067996417248,3.044675492275189,1.1682507473265678,1.952732041702916,"[{""name"":""nbo_charge"",""value"":0.7455700039863586}]",nbo_charge,20260904,2.143755427,1,-0.6071453459052782,0.6071453459052782,1,1
S001,three_singleton_scaffolds,SIG-NIHDA-401,2,1.5349557763888129,1.5349557,7.638881283078547e-08,interpolation,inside_training_range,reliable,9.008124063947243e-05,SIG-NIHDA-1057,0.028833405555307334,0.0031241970521547107,1.2002776314326546,0.0,0.3308094846453691,0.4410793128604921,0.38813377077201383,2.6817777820056117,0.12304289044884542,3.0438254171324894,1.1671881124905026,1.95047912987161,"[{""name"":""nbo_charge"",""value"":0.7466779947280884}]",nbo_charge,20260904,0.056166692,3,1.478789084388813,1.478789084388813,0,0
S001,three_singleton_scaffolds,SIG-NIHDA-498,3,0.4727846507527147,0.47278476,-1.0924728532923922e-07,interpolation,inside_training_range,reliable,0.003248312699849265,SIG-NIHDA-785,0.028833405555307334,0.11265796173880513,0.679556873104408,0.0,0.19097107768334864,0.2546281035777982,-0.6121127819840968,1.5576820834895262,-1.4999622459543889,2.4980219336680722,0.18834098063186247,0.8623359725042459,"[{""name"":""nbo_charge"",""value"":1.4580800533294678}]",nbo_charge,20260904,0.112513889,2,0.36027076175271466,0.36027076175271466,1,0
S002,three_singleton_scaffolds,SIG-NIHDA-401,1,1.6808389094677807,1.680839,-9.053221927679544e-08,interpolation,inside_training_range,reliable,8.681151093581363e-05,SIG-NIHDA-1057,0.027792664659982758,0.0031235404016804872,0.9295416209304368,0.0,0.2484353750059977,0.3312471666746636,0.7604894651156091,2.6011883538199525,0.21953349651153076,3.018320111490153,1.1614427837148698,2.065661124481866,"[{""name"":""nbo_charge"",""value"":0.7466779947280884}]",nbo_charge,20260905,0.056166692,3,1.6246722174677808,1.6246722174677808,0,0
S002,three_singleton_scaffolds,SIG-NIHDA-498,2,0.3135535444679931,0.31355357,-2.553200689758839e-08,interpolation,inside_training_range,reliable,0.02525225154743793,SIG-NIHDA-2063,0.027792664659982758,0.9085941148995822,0.8820594681472812,0.0,0.2361469864783235,0.31486264863776464,-0.6022551844370843,1.2293622733730705,-1.562327243274467,2.149309161640262,0.11913648982340562,0.47403353024678263,"[{""name"":""nbo_charge"",""value"":1.4580800533294678}]",nbo_charge,20260905,0.112513889,2,0.2010396554679931,0.2010396554679931,1,0
S002,three_singleton_scaffolds,SIG-NIHDA-785,3,0.3113434980008378,0.31134343,6.800083784952449e-08,interpolation,inside_training_range,reliable,0.022121844689542147,SIG-NIHDA-2063,0.027792664659982758,0.7959598318542758,0.8849876956331443,0.0,0.23688617448886612,0.3158482326518215,-0.6047390064621133,1.227426002463789,-1.5652073991905127,2.1479045136941948,0.11670812876626258,0.472148011414481,"[{""name"":""nbo_charge"",""value"":1.4592299461364746}]",nbo_charge,20260905,1.163593648,1,-0.8522501499991622,0.8522501499991622,1,1
S003,three_singleton_scaffolds,SIG-NIHDA-401,1,1.6855396141308887,1.6855396,1.4130888681407328e-08,interpolation,inside_training_range,reliable,8.774787353571512e-05,SIG-NIHDA-1057,0.02236045438292522,0.0039242437578871706,0.9294729222976021,0.0,0.24841713046920633,0.3312228406256084,0.43290845757653496,2.9381707706852422,0.06934471118406482,3.2656219926581085,1.2787073726484173,2.0698749950580577,"[{""name"":""nbo_charge"",""value"":0.7466779947280884}]",nbo_charge,20260906,0.056166692,3,1.6293729221308888,1.6293729221308888,0,0
S003,three_singleton_scaffolds,SIG-NIHDA-498,2,0.496095350344973,0.49609542,-6.965502702405146e-08,interpolation,inside_training_range,reliable,0.003164171918224601,SIG-NIHDA-785,0.02236045438292522,0.14150749640583377,0.9016683808293412,0.0,0.2411436955696294,0.3215249274261725,-0.7528814826249157,1.7450721833148617,-1.6589845079621355,2.717062239093327,0.13175008764114013,0.9971798605962283,"[{""name"":""nbo_charge"",""value"":1.4580800533294678}]",nbo_charge,20260906,0.112513889,2,0.38358146134497295,0.38358146134497295,1,0
S003,three_singleton_scaffolds,SIG-NIHDA-2062,3,0.4417145584538815,0.44171453,2.8453881528722746e-08,extrapolation,outside:nbo_charge,caution:outside_range,0.028086536178957733,SIG-NIHDA-2067,0.02236045438292522,1.256080744065963,0.9853872377445663,0.013787657323688533,0.2637125726156952,0.3516167634875936,-0.8185667731216217,1.7019958900293848,-1.7380028482469718,2.691982363804774,0.062357693575350495,0.9735278231659238,"[{""name"":""nbo_charge"",""value"":1.4906049966812134}]",nbo_charge,20260906,0.34352042,1,0.09819413845388153,0.09819413845388153,1,1
S004,three_singleton_scaffolds,SIG-NIHDA-401,1,1.5244055591568468,1.4924088,0.031996759156846855,sparse_interpolation,inside_training_range,reliable,0.2373593317888344,SIG-NIHDA-1057,0.11342656320996247,2.0926256167125645,0.6707299000537289,0.0,0.18926837126086932,0.2523578283478258,0.34318395868355256,2.705627159630141,0.33109154381810746,2.5839693160571597,1.1568470313721528,1.8474896420731928,"[{""name"":""sterimol_b5"",""value"":8.750675201416016},{""name"":""nbo_charge"",""value"":0.7466779947280884}]",B5_x_nbo_charge,20260907,0.056166692,3,1.468238867156847,1.468238867156847,0,0
