split_id,stratum,status,phase,error,training_count,candidate_count
S001,three_singleton_scaffolds,success,complete,,8,3
S002,three_singleton_scaffolds,success,complete,,8,3
S003,three_singleton_scaffolds,success,complete,,8,3
S004,three_singleton_scaffolds,success,complete,,8,3
S005,three_singleton_scaffolds,success,complete,,8,3
S006,three_singleton_scaffolds,success,complete,,8,3
S007,three_singleton_scaffolds,success,complete,,8,3
S008,three_singleton_scaffolds,success,complete,,8,3
S009,three_singleton_scaffolds,success,complete,,8,3
S010,three_singleton_scaffolds,success,complete,,8,3
S011,three_singleton_scaffolds,success,complete,,8,3
S012,three_singleton_scaffolds,success,complete,,8,3
S013,three_singleton_scaffolds,success,complete,,8,3
S014,three_singleton_scaffolds,success,complete,,8,3
S015,three_singleton_scaffolds,success,complete,,8,3
S016,three_singleton_scaffolds,success,complete,,8,3
S017,three_singleton_scaffolds,success,complete,,8,3
S018,three_singleton_scaffolds,success,complete,,8,3
S019,three_singleton_scaffolds,success,complete,,8,3
S020,three_singleton_scaffolds,success,complete,,8,3
S021,three_singleton_scaffolds,success,complete,,8,3
S022,three_singleton_scaffolds,success,complete,,8,3
S023,three_singleton_scaffolds,success,complete,,8,3
S024,three_singleton_scaffolds,success,complete,,8,3
S025,three_singleton_scaffolds,success,complete,,8,3
S026,three_singleton_scaffolds,success,complete,,8,3
S027,three_singleton_scaffolds,success,complete,,8,3
S028,three_singleton_scaffolds,success,complete,,8,3
S029,three_singleton_scaffolds,success,complete,,8,3
S030,three_singleton_scaffolds,success,complete,,8,3
S031,three_singleton_scaffolds,success,complete,,8,3
S032,three_singleton_scaffolds,success,complete,,8,3
S033,three_singleton_scaffolds,success,complete,,8,3
S034,three_singleton_scaffolds,success,complete,,8,3
S035,three_singleton_scaffolds,success,complete,,8,3
S036,three_singleton_scaffolds,success,complete,,8,3
S037,one_three_member_scaffold,failed,fit,exit 2: error: no non-constant descriptor improved the intercept model,8,3
S038,three_singleton_scaffolds,success,complete,,8,3
S039,three_singleton_scaffolds,success,complete,,8,3
S040,three_singleton_scaffolds,success,complete,,8,3
S041,three_singleton_scaffolds,success,complete,,8,3
S042,three_singleton_scaffolds,failed,fit,exit 2: error: no non-constant descriptor improved the intercept model,8,3
S043,three_singleton_scaffolds,failed,fit,exit 2: error: no non-constant descriptor improved the intercept model,8,3
S044,three_singleton_scaffolds,success,complete,,8,3
S045,three_singleton_scaffolds,failed,fit,exit 2: error: no non-constant descriptor improved the intercept model,8,3
S046,three_singleton_scaffolds,failed,fit,exit 2: error: no non-constant descriptor improved the intercept model,8,3
S047,three_singleton_scaffolds,failed,fit,exit 2: error: no non-constant descriptor improved the intercept model,8,3
S048,three_singleton_scaffolds,success,complete,,8,3
S049,three_singleton_scaffolds,success,complete,,8,3
S050,three_singleton_scaffolds,success,complete,,8,3
S051,three_singleton_scaffolds,success,complete,,8,3
S052,three_singleton_scaffolds,success,complete,,8,3
S053,three_singleton_scaffolds,success,complete,,8,3
S054,three_singleton_scaffolds,failed,fit,exit 2: error: no non-constant descriptor improved the intercept model,8,3
S055,three_singleton_scaffolds,failed,fit,exit 2: error: no non-constant descriptor improved the intercept model,8,3
S056,three_singleton_scaffolds,failed,fit,exit 2: error: no non-constant descriptor improved the intercept model,8,3
S057,three_singleton_scaffolds,failed,fit,exit 2: error: no non-constant descriptor improved the intercept model,8,3
