split_id,stratum,reaction_id,source_id,ligand_group,role
S001,three_singleton_scaffolds,SIG-NIHDA-401,401,O=S(=O)(c1ccccc1)N1CC2CC1CP2c1ccccc1,held_out
S001,three_singleton_scaffolds,SIG-NIHDA-498,498,c1cc2c3c(c1)OPOc1cccc4c1C3(CC2)CC4,held_out
S001,three_singleton_scaffolds,SIG-NIHDA-723,723,c1ccc(-c2cccc3c2PCO3)cc1,train
S001,three_singleton_scaffolds,SIG-NIHDA-724,724,c1cc2c(c(-c3c4ccccc4cc4ccccc34)c1)PCO2,held_out
S001,three_singleton_scaffolds,SIG-NIHDA-785,785,c1ccc2c(c1)ccc1o[pH]oc3ccc4ccccc4c3c12,train
S001,three_singleton_scaffolds,SIG-NIHDA-1057,1057,c1ccc(-c2cccc3c2PCO3)cc1,train
S001,three_singleton_scaffolds,SIG-NIHDA-1058,1058,c1ccc(-c2cccc3c2PCO3)cc1,train
S001,three_singleton_scaffolds,SIG-NIHDA-2062,2062,c1ccc2c(CN(Cc3cccc4ccccc34)p3oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)cccc2c1,train
S001,three_singleton_scaffolds,SIG-NIHDA-2063,2063,c1ccc2c(c1)ccc1op(N3CCCCC3)oc3ccc4ccccc4c3c12,train
S001,three_singleton_scaffolds,SIG-NIHDA-2064,2064,c1ccc2c(c1)CCCN2p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,train
S001,three_singleton_scaffolds,SIG-NIHDA-2067,2067,c1ccc(CN(Cc2ccccc2)p2oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)cc1,train
S002,three_singleton_scaffolds,SIG-NIHDA-401,401,O=S(=O)(c1ccccc1)N1CC2CC1CP2c1ccccc1,held_out
S002,three_singleton_scaffolds,SIG-NIHDA-498,498,c1cc2c3c(c1)OPOc1cccc4c1C3(CC2)CC4,held_out
S002,three_singleton_scaffolds,SIG-NIHDA-723,723,c1ccc(-c2cccc3c2PCO3)cc1,train
